# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Пълен списък с промени
codex_legal									правен
codex_privacy								Декларация за поверителност
codex_terms-of-use							Условия за ползване
codex_eula									лицензионно споразумение с краен потребител

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Врати и стени
interfacemode_flooring							Подове
tunnelsearch_underway							ПРОЦЕДИРА ПРОВЕРКА ЗА ТУНЕЛИ
tunnelsearch_found							Тунели
moveobjects_prompt							ДВОЕН КЛИК: Премести предмет
moveobjects_abort							ДЕСЕН КЛИК: Прекрати местене

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Различни видове врати и стени
buildtoolbar_popup_flooring						Различни видове подова настилка
buildtoolbar_popup_spawn						Отвори Spawn меню.
buildtoolbar_tunnelsearch						Проверка за тунели

buildtoolbar_tooltip_tunnelsearch					Подозирате че има опит за бягство? Наредете на пазачите да проверят зад всички тоалетни.		

buildtoolbar_GuardResponse						Повикай Пазачи	
buildtoolbar_tooltip_GuardResponse					Веднъж активарано, можете да повикате пазачи които са наблизо с ляв клик на картата. Допълнителни кликове ще призоват повече пазачи. Десен клик прекратява.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Стена с плочки
material_NewBarredWall							Стена с решетки
material_NewBBlockWall							Бяла стена
material_NewHedgeWall							Плет
material_NewIronFloor							Железен под
material_NewCargoFloor							Товарен под
material_NewCheckeredFloor						Кариран под
material_Snow								Сняг


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Двоен ляв клик за последване *E

quickbuild_intermediatecell							Подобрена kилия
quickbuild_holdingcell								Обща kилия
quickbuild_medical								Болница
quickbuild_shop									Магазин
quickbuild_shower								Душ
quickbuild_staffroom								Стая за персонала
quickbuild_workshop								Работилница

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27 Юни 2019
mm_updatenotes_Header								Ъпдейт—Пандиза
mm_updatenotes_1								x4 нови подови настилки и x4 нови видове стени добавени.
mm_updatenotes_2								Подобрен пърформанс за по-бързо зареждане.
mm_updatenotes_3								Увеличен броят на бригадирите които могат да бъдат наети, за по-големи затвори, където бригадирите могат да преподават.
mm_updatenotes_4								Съществуващите обекти сега имат пълен набор от завъртания, с добавени нови спрайтове за липсващи ориентации.
mm_updatenotes_5								Нов бутон 'Повикай Пазачи', който призовава пазачи, които са наблизо, до дадено място, вместо играчите да трябва да наемат допълнителни пазачи за да се справят с инцидент. 
mm_updatenotes_6								Нов бутон 'Проверка за Тунели', който заповядва на пазачите да проверят за скрити тунели зад всички тоалетни.  
mm_updatenotes_7								Допълнителни Бързи Помещения са добавени в менюто Бърз Строеж.
mm_updatenotes_8								Следването на затворници и персонал е улеснено чрез двоен клик на когото искате да следите.
mm_updatenotes_9								Вече можете да местите предмети! Изберете предмет и кликнете два пъти върху него.
mm_updatenotes_10								Надяваме се, че ще харесате тези подобрения. Приятна игра!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Кал
material_yutaniwall								Стена (Ютани)










material_solacofloor							Солако 
material_gratefloor								Решетка

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Дърво (Снежно Иглолистно)


object_palmtree									Дърво (Палма)
object_plant									Растение

object_bush										Храст

object_streetlamp								Улична Лампа

object_floodlight								Лампа (Прожекторна)





		
		

object_bleachers								Скамейки
object_smallbench								Пейка (Малка)
object_smalltable								Маса (Малка)
object_showerpillar								Душ


object_doorMat									Изтривалка

object_GuardPavilion							Охранителна Кабина
object_GuardPavilionCorner						Охранителна Кабина (Ъглова)

object_OfficeChair								Стол (Офис)




















object_visitorDoor								Врата за Посетители
object_ironingBoardShort						Дъска за Гладене (Малка)
object_fencegatestaff							Оградна Порта (Персонал)
object_fencegatestandard						Оградна Порта (Нормална)
object_fencegatevisitor							Оградна Порта (Посетители)












object_walllight								Стенна Лампа
object_securedoor								Врата (Сигурна)
object_secretdoor								Врата (Скрита)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Безплатна кал!
buildtoolbar_popup_mat_yutaniwall				Постойте високо технологични стени върху основа, създавайки нови райони или стаи. Върви добре с товарна или Солако настилка.

buildtoolbar_popup_mat_newbblockwall			Постройте стена от бетонни тухли върху основа, за да създадете нови райони или помещения.
buildtoolbar_popup_mat_newbarredwall			Постройте стена с решетки върху основа, за да създадете нови райони или помещения.
buildtoolbar_popup_mat_newtiledwall				Постройте стена с плочки върху основа, за да създадете нови райони или помещения.
buildtoolbar_popup_mat_newhedgewall				Високи, но хлабави храсти. По-скоро окраса отколкото сериозна мярка за сигурност.









buildtoolbar_popup_mat_solacofloor				Прави настилката да изглежда високо технологична. Върви добре със стените Ютани.
buildtoolbar_popup_mat_gratefloor				Прави настилката да изглежда високо технологична.
buildtoolbar_popup_mat_newcargofloor			Прави настилката да изглежда поръчкова.
buildtoolbar_popup_mat_newironfloor				Прави настилката да изглежда поръчкова.
buildtoolbar_popup_mat_newcheckeredfloor		Биха изглеждали добре във вашите кухни и столови.
buildtoolbar_popup_mat_snow						Като вода, само че по-студено и красиво.





buildtoolbar_popup_obj_snowyconifertree			Би изглеждало най-добре в снега.


buildtoolbar_popup_obj_palmtree					По принцип расте на суха почва, но сега можете да ги садите където искате.


buildtoolbar_popup_obj_bush						Дава малко декорация на външни пространства.

buildtoolbar_popup_obj_streetlamp				Да освети пътища и маршрути.

buildtoolbar_popup_obj_floodlight				Висока лампа, която покрива голям район, като например двор.





	


buildtoolbar_popup_obj_bleachers				Класически скамейки за затворен двор, на които затворниците могат да седят и обмислят следващия си ход.
buildtoolbar_popup_obj_smallbench				За седене.
buildtoolbar_popup_obj_smalltable				За ядене.
buildtoolbar_popup_obj_showerpillar				Поставете в средата на помещение за душове и поставете глава на душ на всяка от страните.


buildtoolbar_popup_obj_doorMat					Евтина, гумена изтривалка, която може да изглежда добре поставена пред врата.


buildtoolbar_popup_obj_guardPavilion			Поставете в двор и отворени пространства за охрана и въоръжена охрана, които да могат да наблюдават затворниците.\n	Задайте охрана чрез менюто Разпределение.\n -Повишава нивото на потискане в този район.\n -Пазачите са защитени от климата.
buildtoolbar_popup_obj_guardPavilionCorner		Поставете в ъглите на двор и отворени пространства за охрана и въоръжена охрана, които да могат да наблюдават затворниците.\n	Задайте охрана чрез менюто Разпределение.\n -Повишава нивото на Потискане в този район.\n -Пазачите са защитени от климата.

buildtoolbar_popup_obj_officeChair				Стол за персонал, който стои централно зад офис бюро.




















buildtoolbar_popup_obj_visitorDoor				Врата позволяваща посетители да преминат без нуждата от пазач. Охраната също може да премине, но затворници не могат.
buildtoolbar_popup_obj_ironingBoardShort		По-къса дъска за гладене.
buildtoolbar_popup_obj_fencegatestaff			Порта, която върви добре с ограда и работи като врата.
buildtoolbar_popup_obj_fencegatestandard		Порта, която върви добре с ограда и работи като врата.
buildtoolbar_popup_obj_fencegatevisitor			Порта, която върви добре с ограда и работи като врата.












buildtoolbar_popup_obj_walllight				Лампа като за бункер, за поставяне на стени.
buildtoolbar_popup_obj_securedoor				Специална врата с отвор за храна за единични килии. Пазачи доставящи храна могат да пъхнат тавата през отвора без да влизат в килията.


interfacedeployment_guards                      Задай Охрана
buildtoolbar_deployment_Guards			Задайте охрана в различни сектори на затвора.
	
interfacedeployment_Dogs			Задай Кучеджии
buildtoolbar_deployment_Dogs			Задайте кучеджии в секторите във вашия затвор.

interfacedeployment_ArmedGuards			Задай Въоръжена Охрана
buildtoolbar_deployment_ArmedGuards		Задайте въоръжена охрана в различни сектори на затвора.

interfacedeployment_patrols                     Задай Охрана
buildtoolbar_deployment_Patrols			Задайте охрана към патролните маршрути във вашия затвор.

interfacedeployment_dogpatrols                  Задай Кучеджии
buildtoolbar_deployment_DogPatrols		Задайте кучеджии към патролните маршрути във вашия затвор.

interfacedeployment_armedpatrols                Задай Въоръжена Охрана
buildtoolbar_deployment_ArmedPatrols		Задайте въоръжена охрана към патролните маршрути във вашия затвор.

buildtoolbar_popup_help_Guards_1        Фунцията Охрана ви позволява да зададете надзиратели в дадена зона. Пазач, който е поставен на пост в дадена зона, се движи на случаен принцип и изпълнява всякакви охранителни задачи в тази зона, като например отваряне на врати.\n\n
buildtoolbar_popup_help_Guards_2        ~Кликнете с левия бутон на мишката, за да увеличите броя на кучеджиите, разположени в дадена зона. Кликнете с десния бутон, за да премахнете пазач.\n\n
buildtoolbar_popup_help_Guards_3        ^Съвети
buildtoolbar_popup_help_Guards_4        - Ако сте отключили микроуправлението, ще имате достъп до графика на дежурствата. Това ви позволява да създавате график, според който пазачите охраняват определени зони. Например, ако искате по време на режима на хранене пазачите да охраняват само столовата, можете да щракнете върху блока на графика, който съответства на режима на хранене, а след това да преместите плъзгача за време в този блок и да щракнете върху Canteen (Столова), за да зададете охрана.
buildtoolbar_popup_help_Guards_5        - Можете да планирате до 7 различни блока от време, плюс режима по подразбиране „Винаги активна охрана“, който ви позволява да създавате сложни съчетания за разполагане на пазачите според нуждите на вашия затвор. 
buildtoolbar_popup_help_Guards_6        - Ако не изберете блок от време при възлагане на Кучеджия, програмата за управление ще използва текущото време; когато променяте графика на охраната, уверете се, че сте избрали правилното време!

buildtoolbar_popup_help_Dogs_1        Функцията Кучеджии ви позволява да зададете кучеджии в дадена зона. Пазач, който е поставен на пост в дадена зона, се движи на случаен принцип и изпълнява всякакви охранителни задачи в тази зона, като например отваряне на врати.\n\n
buildtoolbar_popup_help_Dogs_2        ~Кликнете с левия бутон на мишката, за да увеличите броя на кучеджиите, разположени в дадена зона. Кликнете с десния бутон, за да премахнете кучеджия.\n\n
buildtoolbar_popup_help_Dogs_3        ^Съвети
buildtoolbar_popup_help_Dogs_4        - Ако сте отключили микроуправлението, ще имате достъп до графика на дежурствата. Това ви позволява да създавате график, според който кучеджиите охраняват определени зони. Например, ако искате по време на режима на хранене кучеджиите да охраняват само столовата, можете да кликнете върху блока на графика, който съответства на режима на хранене, а след това да преместите плъзгача за време в този блок и да кликнете върху Canteen (Столова), за да зададете кучеджии.
buildtoolbar_popup_help_Dogs_5        - Можете да планирате до 7 различни блока от време, плюс режима по подразбиране „Винаги активна охрана“, който ви позволява да създавате сложни съчетания за разполагане на пазачите според нуждите на вашия затвор. 
buildtoolbar_popup_help_Dogs_6        - Ако не изберете блок от време при възлагане на Кучеджия, програмата за управление ще използва текущото време; когато променяте графика на охраната, уверете се, че сте избрали правилното време!

buildtoolbar_popup_help_ArmedGuards_1        Фунцията Въоръжена Охрана ви позволява да зададете надзиратели в дадена зона. Пазач, който е поставен на пост в дадена зона, се движи на случаен принцип и изпълнява всякакви охранителни задачи в тази зона, като например отваряне на врати.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Кликнете с левия бутон на мишката, за да увеличите броя на пазачите, разположени в дадена зона. Кликнете с десния бутон, за да премахнете пазач.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Съвети
buildtoolbar_popup_help_ArmedGuards_4        - Ако сте отключили микроуправлението, ще имате достъп до графика на дежурствата. Това ви позволява да създавате график, според който въоръжени пазачи охраняват определени зони. Например, ако искате по време на режима на хранене въоръжените пазачи да охраняват само столовата, можете да кликнете върху блока на графика, който съответства на режима на хранене, а след това да преместите плъзгача за време в този блок и да кликнете върху Canteen (Столова), за да зададете въоръжени пазачи.
buildtoolbar_popup_help_ArmedGuards_5        - Можете да планирате до 7 различни блока от време, плюс режима по подразбиране „Винаги активна охрана“, който ви позволява да създавате сложни съчетания за разполагане на пазачите според нуждите на вашия затвор. 
buildtoolbar_popup_help_ArmedGuards_6        - Ако не изберете блока от време , когато възлагате Въоръжена Охрана, програмата за управление ще използва текущото време; когато променяте графика за патрулиране на охраната, уверете се, че сте избрали правилното време!

interfacedeployment_PrioritizeArea			Приоритизирай Район (*X)
buildtoolbar_deployment_PrioritizeGuard			Използвайте тази опция за задаване на приоритет на назначените стражи да покрият конкретни патрули около вашия затвор. Ако имате малко персонал, охраната ще се опита първо да покрие вашите приоритетни патрулни маршрути. Налични са два приоритета; „Висок“ (>>) и „Много Висок“ (>>>).

interfacedeployment_BluePatrol				Син Патрул
buildtoolbar_deployment_BluePatrol			Оцветени патрулни маршрути позволяват за припокриване и възможност за задаване на отделни пазачи. Кликнете и дръпнете за да създадете син патрулен маршрут. Кликнете и дръпнете с десния бутон за да премахнете синия патрулен маршрут. Кликнете бутона Задаване Надзирател за да добавите пазачи към маршрута.

interfacedeployment_MagentaPatrol			Лилав Патрул
buildtoolbar_deployment_MagentaPatrol			Оцветени патрулни маршрути позволяват за припокриване и възможност за задаване на отделни пазачи. Кликнете и дръпнете за да създадете лилав патрулен маршрут. Кликнете и дръпнете с десния бутон за да премахнете лилавия патрулен маршрут. Кликнете бутона Задаване Надзирател за да добавите пазачи към маршрута.

interfacedeployment_PrioritizePatrol			Приоритизирай Патрул
buildtoolbar_deployment_PrioritizePatrol		Използвайте тази опция за задаване на приоритет на назначените стражи да покрият конкретни патрули около вашия затвор. Ако имате малко персонал, охраната ще се опита първо да покрие вашите приоритетни патрулни маршрути. Налични са два приоритета; „Висок“ (>>) и „Много Висок“ (>>>).

buildtoolbar_popup_filter_title                 Филтриране
buiildtoolbar_popup_filter_toggle               Кликнете за да смените.
buildtoolbar_popup_filter_default               По подразбиране
buildtoolbar_popup_filter_az                    А-Я
buildtoolbar_popup_filter_owned                 В Собственост
buildtoolbar_popup_filter_costhighlow           Цена (Висока-Ниска)
buildtoolbar_popup_filter_costlowhigh           Цена (Ниска-Висока)
buildtoolbar_popup_filter_indooroutdoor         Вътрешно-Външно
buildtoolbar_popup_filter_outdoorindoor         Външно-Вътрешно
buildtoolbar_popup_filter_quantity               Количество Притежавани
buildtoolbar_popup_filter_byroom                По Помещение






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							Двоен-клик: Премести

double_click_add_door							Кликнете два пъти с левия бутон на мишката, за да добавите врати.

codex_option_bureaucracyresearched				Бюрокрация Разработена
codex_tooltip_bureaucracyresearched				Започнете нова игра с всичко в екрана бюрокрация отключено.

codex_option_jungle						Парцел Джунгла
codex_tooltip_jungle						Създайте стартов парцел, който прилича на гъста джунгла.

codex_option_snowy						Заснежен Парцел
codex_tooltip_snowy						Създайте стартов парцел, който е покрит със сняг.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Мие

action_Stretching								Тренира
action_PlayChess								Играе Шах


plant_tree_location								Засади Дърво в *X

report_intake_cat_SuperMax							Супер макс.

interface_undo							Отмяна

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Запазиването на затвора се провали.
codex_changelog_next                            Следващ >
codex_changelog_prev                            < Предишен
codex_credits                                   Кредити

codex_options_screenshotmode					Режим Screenshot
codex_tooltip_screenshotmode					Когато сте в режим Screenshot, задръжте бутона [*K] и натиснете [*E], за да премахнете всички елементи на интерфейса.
codex_sso_content_message						Успешно създадохте Paradox Account.\n\nКато знак на благодарност, новите Охранителна Кабини са отключени! Можете да ги намерите в менюто Обекти.
codex_options_borderless_windowed               Без кант
codex_options_monitor                           Монитор


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Режим Дисплей 
codex_options_borderless_fullscreen		Пълен екран без кант
codex_options_display_monitor 			Монитор 
codex_options_windowed_resolution               Резолюция в прозорец
############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Стена (арт деко)
material_blueWall								Стилна стена (сини ивици)
material_burgundyWall							Стилна стена (бордо)
material_greenWall								Стилна стена (зелена)
material_orientalWall							Стена (ориенталска)
material_cushionedwall							Стена (омекотена)

material_sandstone								Пясъчник 
material_limestonefloor							Варовик 
material_blueCarpet								Килим (син)
material_redCarpet								Килим (Червен)
material_brownCarpet							Килим (кафяв)
material_paddedfloor							Омекотено
material_grassstones							Трева и Камъни
material_grasscornerfloor						Тревен Ъгъл
material_grasscornerfloor1						Тревен Ъгъл
material_grasscornerfloor2						Тревен Ъгъл
material_grasscornerfloor3						Тревен Ъгъл
material_lunarfloor								Лунно

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Дърво (зловещо)
object_cactustree								Дърво (кактус)
object_sakuratree								Дърво (черешово)
object_plantcactus								Растение (кактус)
object_tyrestack								Стека на Гуми
object_lamp										Светлина (лампа)
object_bathroomSink								Мивка
object_bathroomHandDryer						Сушилник за Ръце
object_chestOfDrawers							Скрин
object_woodenStool								Дъверн Стол
object_woodenTable								Дървена Маса			
object_bucket									Кофа
object_shortbookcase							Рафт с Книги (нисък)
object_outdoorTable								Външна Маса
object_mooseHead								Глава на Лос
object_toiletSign								Табела (тоалетни)
object_rightArrowSign							Табела (стрелка надясно)
object_leftArrowSign							Табела (стрелка наляво)
object_infirmarySign							Табела (лазарет)
object_canteenSign								Табела (столова)
object_showerSign								Табела (душове)
object_armourySign								Табела (арсенал)
object_jaildoorred								Затворническа врата (червени)
object_jaildoorgrey								Затворническа врата (сиви)
object_jaildoororange							Затворническа врата (оранжеви)
object_jaildoorYellow							Затворническа врата (жълти)
object_jaildoorlargered							Голяма затворническа врата (червени)
object_jaildoorlargegrey						Голяма затворническа врата (сиви)
object_jaildoorlargeorange						Голяма затворническа врата (оранжеви)
object_jaildoorlargeyellow						Голяма затворническа врата (жълти)
object_coatstand								Закачалка за Палта
object_dogbowl									Кучешка Купа
object_footbridge                               Мост
object_footbridgesteel                          Стоманен Мост
object_footbridgeb                              Мост Б
object_footbridgesteelb                         Стоманен Мост Б
object_windowclassy								Стилен Прозорец
object_windowclassyLarge						Прозорец Classy (Голям)
object_gravestone								Надгробна Плоча
object_psychiatrist								Психиатър
object_orderly									Санитар
object_rorschachTest							Rorschach Test
object_anatomyModel								Анатомичен Модел
object_flipboard								Флипборд
object_medicineCabinetPsych						Аптечка
object_leatherchair								Кожен Стол
object_leatherSofa								Кожен Диван
object_parkbench								Пейка (Парк)
object_fencegateguard							Оградна Порта (за пазачи)
object_oaktable									Маса (Дъб)
object_oakbench									Пейка (дъб)
object_BoomBoxRoundHouse                        Касетофон

object_classic									Класически
object_dalmation								Далматинец
object_husky									Хъски
object_companion								Компаньон
object_cat										Котка
object_direwoof									Страхобау

equipment_fountainPen							Писалка
equipment_goldPocketWatch						Златен Джобен Часовник
equipment_sedativeShot							Упоителна инжекция (спринцовка)
equipment_sedativesyringe						Упойка (спринцовка)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Изградете стените в стил арт деко, за да дадете архитектурен облик от 1920г на затвора.
buildtoolbar_popup_mat_blueWall					Изградете стилни стени върху основите, за да създадете нови зони за персонал или стаи.
buildtoolbar_popup_mat_burgundywall				Изградете стилни стени върху основите, за да създадете нови зони за персонал или стаи.
buildtoolbar_popup_mat_greenwall				Изградете стилни стени върху основите, за да създадете нови зони за персонал или стаи.
buildtoolbar_popup_mat_orientalwall				Изградете ориенталски стени, за да създадете зони в затвора с древно японско усещане.
buildtoolbar_popup_mat_cushionedwall			Изградете стенни секции върху основите, за да създадете нови зони или стаи, които имат богат, кожен вид.
buildtoolbar_popup_mat_sandstone				Поставете пясъчници на открити площи.
buildtoolbar_popup_mat_limestonefloor			Подът е в цвета на избледнял лайм.
buildtoolbar_popup_mat_blueCarpet				Поставете удобен килим. Перфектен за зони за персонал.
buildtoolbar_popup_mat_redCarpet				Поставете удобен килим. Перфектен за зони за персонал.
buildtoolbar_popup_mat_brownCarpet				Поставете удобен килим. Перфектен за зони за персонал.
buildtoolbar_popup_mat_paddedfloor				Съответства на омекотените стени, за да създаде пълна омекотена килия за душевноболни затворници.
buildtoolbar_popup_mat_grassstones				Тревист район с павета.
buildtoolbar_popup_mat_grassscornerfloor		Тревен кът с пръст. Полезен за ъглови пътеки.
buildtoolbar_popup_mat_lunarfloor				Втвърдена скалиста повърхност с междузвезден вид.
buildtoolbar_popup_obj_spookytree				Зловещо старо дърво.
buildtoolbar_popup_obj_cactustree				Би изглеждало най-добре на суха земя.
buildtoolbar_popup_obj_sakuratree				Красиво черешово дърво с розово цвете.
buildtoolbar_popup_obj_plant					Приятно домашно растение.
buildtoolbar_popup_obj_plantcactus				Домашен кактус в саксия.
buildtoolbar_popup_obj_tyrestack				Действа като малка стена, която затворници и персонал ще обикалят.
buildtoolbar_popup_obj_lamp						Богато украсена лампа, идеална за офиси и зони за персонала.
buildtoolbar_popup_obj_bathroomSink				Няма хигиенна тоалетна без една от тези.
buildtoolbar_popup_obj_bathroomHandDryer		Подхожда перфектно с мивка за баня.
buildtoolbar_popup_obj_chestOfDrawers			Дървен скрин.
buildtoolbar_popup_obj_woodenStool				Би било чудесно с дървена маса.
buildtoolbar_popup_obj_woodenTable				Би било чудесно с дървен стол.	
buildtoolbar_popup_obj_bucket					Просто кофа...
buildtoolbar_popup_obj_shortbookcase			По-нисък рафт с книги.
buildtoolbar_popup_obj_outdoorTable				За затворниците да седят и да се хранят на открито.
buildtoolbar_popup_obj_mooseHead				Красива, ръчно завършена лосова глава върху плака.
buildtoolbar_popup_obj_toiletSign				Табела на стената със символ на тоалетна.
buildtoolbar_popup_obj_rightArrowSign			Табела на стената със стрелка насочена надясно.
buildtoolbar_popup_obj_leftArrowSign			Табела на стената със стрелка насочена наляво.
buildtoolbar_popup_obj_infirmarySign			Табела на стената със символ на лазарета.
buildtoolbar_popup_obj_canteenSign				Табела на стената със символ на столова.
buildtoolbar_popup_obj_showerSign				Табела на стената със символ на душ.
buildtoolbar_popup_obj_armourySign				Табела на стената със символ на арсенал.
buildtoolbar_popup_obj_jaildoorred				Цветна врата на затвора, за маркиране на вашите блокове с максимална сигурност.
buildtoolbar_popup_obj_jaildoorgrey				Цветна врата на затвора, за маркиране на вашите блокове с ниска сигурност.
buildtoolbar_popup_obj_jaildoororange			Голяма цветна врата на затвора, която ви помога да маркирате блокове със средна сигурност.
buildtoolbar_popup_obj_jaildooryellow			Цветна врата на затвора, която ще ви помогне да маркирате вашите подсигурени килии.
