# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
codex_legal											Legal
codex_privacy										Privacy
codex_terms-of-use									Terms Of Use
codex_eula											End User License Agreement


# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                         Walls & Doors
interfacemode_flooring								Flooring
tunnelsearch_underway								TUNNEL SEARCH IN PROGRESS

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Different types of walls and doors
buildtoolbar_popup_flooring							Different floor styles
buildtoolbar_popup_spawn							Open the Spawn Menu.
buildtoolbar_tunnelsearch							Tunnel Search

buildtoolbar_tooltip_tunnelsearch					Suspect an escape attempt is afoot? Order your guards to search behind all toilets.		

buildtoolbar_GuardResponse							Guard Response	
buildtoolbar_tooltip_GuardResponse					When activated you may left click on the map to call nearby guards over to a location. More clicks will call more guards. Right click to stop.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Tiled Wall
material_NewBarredWall							Barred Wall
material_NewBBlockWall							White Wall
material_NewHedgeWall							Hedge
material_NewIronFloor							Iron Floor
material_NewCargoFloor							Cargo Floor
material_NewCheckeredFloor						Checkered Floor
material_Snow									Snow



# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Double left-click to follow this *E

quickbuild_intermediatecell							Improved Cell
quickbuild_holdingcell								Holding Cell
quickbuild_medical									Medical
quickbuild_shop										Shop
quickbuild_shower									Shower
quickbuild_staffroom								Staff Room
quickbuild_workshop									Workshop

# =============================================================================
# Main Menu
# =============================================================================

mm_updatenotes_Date								27 June 2019
mm_updatenotes_Header							The Clink Update
mm_updatenotes_01								x4 new floor tiles and x4 new wall types added.
mm_updatenotes_02								Performance improvements, to help lower loading times.
mm_updatenotes_03								Increased the foremen that can be hired, for larger prisons where foremen also teach programs.
mm_updatenotes_04								Existing objects have their full set of rotations, with new sprites added for missing orientations.
mm_updatenotes_05								New 'Guard Response' button that commands existing nearby guards to a location, instead of players needing to hire additional guards to deal with incidents. 
mm_updatenotes_06								New 'Tunnel Search' button that commands guards to search all toilets only, for hidden escape tunnels.  
mm_updatenotes_07								Additional Quick Rooms added to the Quick Build menu, for quicker and easier room construction.
mm_updatenotes_08								Following prisoners and staff is made a lot easier, by double-clicking on them.
mm_updatenotes_09								The ability to move and relocate objects is here! Select and double-click an object.
mm_updatenotes_10								We hope you enjoy playing with these new improvements!

# =============================================================================
# =============================================================================


############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Mud
material_mud									Mud
material_yutaniwall								Wall (Yutani)
material_solacofloor							Solaco 
material_gratefloor								Grate

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Tree (Snowy Conifer)
object_palmtree									Tree (Palm)
object_plant									Plant
object_bush										Bush
object_streetlamp								Street Lamp
object_floodlight								Light (Flood Light)
object_bleachers								Bleachers
object_smallbench								Bench (Small)
object_smalltable								Table (Small)
object_showerpillar								Shower Pillar
object_doorMat									Door Mat
object_GuardPavilion							Guard Pavilion
object_GuardPavilionCorner						Guard Pavilion (Corner)
object_OfficeChair								Chair (Office)
object_visitorDoor								Visitor Door
object_ironingBoardShort						Ironing Board (Small)
object_fencegatestaff							Fence Gate (Staff)
object_fencegatestandard						Fence Gate (Standard)
object_fencegatevisitor							Fence Gate (Visitor's)
object_walllight								Wall Light
object_securedoor								Door (Secure)
object_secretdoor								Door (Secret)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					It's mud, and it's free!
buildtoolbar_popup_mat_yutaniwall				Build walls with a hi-tech look on top of foundations, to create new areas or rooms. Goes great with the Cargo or Solaco floor.
buildtoolbar_popup_mat_newbblockwall			Build walls made of breeze block on top of foundations, to create new areas or rooms.
buildtoolbar_popup_mat_newbarredwall			Build barred wall sections on top of foundations, to create new areas or rooms.
buildtoolbar_popup_mat_newtiledwall				Build tiled walls on top of foundations, to create new areas or rooms.
buildtoolbar_popup_mat_newhedgewall				Tall but weak hedges. More of a nicety than a serious security option.
buildtoolbar_popup_mat_solacofloor				Give our prison floors a hi-tech look. Goes great with the Yutani walls.
