
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Ny
dialog_load                             Indlæs
dialog_save                             Gem
dialog_saveas                           Gem som
dialog_delete                           Slet
dialog_width                            Bredde
dialog_height                           Højde
dialog_name                             Navn
dialog_type                             Type
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Afslut
dialog_cancel                           Annullér
dialog_ok                               Ok
dialog_open                             Åbn
dialog_close                            Luk
dialog_closed                           Lukket
dialog_add                              Tilføj
dialog_up                               Op
dialog_down                             Ned
dialog_yes                              Ja
dialog_no                               Nej
dialog_loading                          Indlæser...
dialog_low                              Lav
dialog_medium                           Medium
dialog_high                             Høj
dialog_none                             Ingen
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialog redigeringsværktøj
dialogeditor_back                       Bagved
dialogeditor_front                      Foran
dialogeditor_reloadlanguage             Genindlæs sprog
dialogeditor_test                       Test
dialogeditor_window                     Vindue
dialogeditor_grid                       Gitter
dialogeditor_caption                    Billedtekst
dialogeditor_component                  Komponent
dialogeditor_select						Vælg
dialogeditor_create						Skab
dialogeditor_background                 BG billede
dialogeditor_panel                      Panel

dialogcomponent_custom                  Tilpasset
dialogcomponent_button                  Knap
dialogcomponent_container               Beholder
dialogcomponent_caption                 Billedtekst
dialogcomponent_titlecaption            Overskrift billedtekst
dialogcomponent_checkbox                Afkrydsningsfelt
dialogcomponent_inputfield              Felt til input
dialogcomponent_inputslider             Input-skyder
dialogcomponent_dropdownmenu            Dropdown-menu
dialogcomponent_selectionlist           Udvalgsliste
dialogcomponent_selectionlistitem       Udvalgsliste-genstand
dialogcomponent_scrollbar               Scrollbar
dialogcomponent_progressbar             Fremskridtsbar
dialogcomponent_canvas                  Kanvas
dialogcomponent_iconbox					IkonFelt

dialogposition_absolute                 Absolut
dialogposition_relative                 Relativt
dialogposition_scaled                   Skaleret


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Navn
profiler_timings                        Indstillinger
profiler_totaltime                      Samlet
profiler_glfinishcaption                glFinish
profiler_reset                          Nulstil


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Lydkanaler
soundeditor_title                       Redigeringsværktøj til lyd
soundinstanceeditor_title				Redigeringsværktøj til lydeksempler

soundeditor_positiontitle		        Positionstype
soundeditor_instancetitle		        Eksempeltype
soundeditor_looptitle			        Sløjfetype
soundeditor_sourcetypetitle		        Lydtype
soundeditor_soundnametitle		        Lydnavn

soundeditor_volumetitle			        Lydstyrke
soundeditor_frequencytitle              Frekvens
soundeditor_mindistancetitle            Min. distance
soundeditor_attacktitle                 Angrib
soundeditor_sustaintitle                Bevar
soundeditor_releasetitle                Frigiv
soundeditor_loopdelaytitle              Forsinkelse på sløjfe
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Næste begivenhed

soundeditor_play                        Afspil
soundeditor_stop                        Stop

soundparametereditor_title              Lydparameter
soundparametereditor_typetitle          Type
soundparametereditor_linktitle          Forbundet med
soundparametereditor_updatetitle        Opdateringstype
soundparametereditor_smoothing          Udglatning
soundparametereditor_chaintitle         Kæde

soundeditor_newdsp                      Tilføj DSP
sounddspeditor_title                    DSP-redigeringsværktøj
samplebankeditor_title                  Redigeringsværktøj til samples
samplebankeditor_addsample              Tilføj lyd
samplebank                              (Samples)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Færdig
interfacemode_destroy                         Ødelæg
interfacemode_foundations				      Fundamenter
interfacemode_construction                    Materialer
interfacemode_planning                        Planlægning
interfacemode_objects                         Genstande
interfacemode_designation                     Værelser
interfacemode_utilities                       Forsyninger
interfacemode_staff                           Ansatte
interfacemode_deployment                      Kommandering
interfacemode_logistics                       Logistik
interfacemode_prisoners                       Indsatte
interfacemode_needs                           Behov
interfacemode_threats                         Trusler
interfacemode_overlays                        Belægninger
interfacemode_research                        Bureaukrati
interfacemode_emergencies                     Nødhjælp
interfacemode_clone                           Klon
interfacemode_contraband                      Efterretning
interfacemode_grading                         Bedømmelse
interfacemode_spawn                           (Startpunkt)
interfacemode_properties                      (Indstillinger)
interfacemode_cutscenes                       (Filmsekvenser)
interfacemode_selection                       Vælg
interfacemode_prefabs                         Hurtig Byg

interfaceoverlay_security                       Sikkerhed
interfaceoverlay_patrols                        Patruljer
interfaceoverlay_decay                          Forfald
interfaceoverlay_territory                      Territorie
interfaceoverlay_contraband                     Kontrabande

interfaceproperty_indoor                        Indendørs
interfaceproperty_visible                       Synlig
interfaceproperty_territoryprisoner             Bander
interfaceproperty_territoryguard                Vagter
interfaceproperty_sectorprisoner                Oprør
interfaceproperty_tunnel                        Tunnel

interfacedeployment_guards                      Vagter
interfacedeployment_patrols                     Vagtpatruljer
interfacedeployment_dogpatrols                  Hundepatruljer
interfacedeployment_armedpatrols                Bevæbnede patruljer
interfacedeployment_removeguards                Fjern vagter
interfacedeployment_clearpatrols                Fjern patruljer
interfacedeployment_targetting                  Logistik
interfacedeployment_targettingfood              Madlogistik
interfacedeployment_targettinglaundry           Vasketøjslogistik
interfacedeployment_securearea                  Sikkert område
interfacedeployment_sharedzone                  Delt
interfacedeployment_staffonlyzone               Kun ansatte
interfacedeployment_maxseczone                  Kun "Maks Sek"
interfacedeployment_medseczone                  Kun "Med Sik"
interfacedeployment_minseczone                  Kun "Min Sik"
interfacedeployment_protectedzone               Kun beskyttet
interfacedeployment_supermaxzone                Kun "SuperMaks"
interfacedeployment_deathrowzone                Kun dødsstraf
interfacedeployment_unlockedzone                Ulåst
interfacedeployment_zonered                     Rød fløj
interfacedeployment_zonegreen                   Grøn fløj
interfacedeployment_zoneblue                    Blå fløj
interfacedeployment_zoneyellow                  Gul fløj
interfacedeployment_zoning                      Zoneinddeling
interfacedeployment_accessonly					Access-Only
interfacedeployment_prisonerdirection			Indsattes retning
interfacedeployment_staffdirection				Anden retning

interfacelogistics_jobs                         Fængselsarbejde
interfacelogistics_removejobs                   Fjern arbejde
interfacelogistics_targettingfood               Maddistribution
interfacelogistics_targettinglaundry            Vasketøjsdistribution
interfacelogistics_roomquality                  Værelseskvalitet
interfacelogistics_weathermap                   Temperatur

interfaceplanning_wall							Vægge
interfaceplanning_object						Genstande
interfaceplanning_route							Stier
interfaceplanning_clear							Ryd
interfaceplanning_zone1							Zone 1
interfaceplanning_zone2							Zone 2
interfaceplanning_zone3							Zone 3
interfaceplanning_zone4							Zone 4
interfaceplanning_zone5							Zone 5
interfaceplanning_zone6							Zone 6
interfaceplanning_zone7							Zone 7
interfaceplanning_zone8							Zone 8
interfaceplanning_zone9							Zone 9

interfacecontraband_source                      Farer
interfacecontraband_day                         -24 timer
interfacecontraband_week                        -7 dage
interfacecontraband_alltime                     -30 dage
interfacecontraband_stolenfrom					Stjålet Fra
interfacecontraband_informants                  Stikkere
interfacecontraband_gangs                       Bander

interfacecallout_fireengine                     Brandbil
interfacecallout_riotpolice                     Uropatrulje
interfacecallout_armedpolice                    Bevæbnet Politi
interfacecallout_paramedics                     Ambulancefolk
interfacecallout_soldiers                       Soldater

interfaceclone_copy                             Kopiér
interfaceclone_paste                            Indsæt
