# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Alle ændringer
codex_legal									gyldige
codex_privacy								Fortrolighedspolitik
codex_terms-of-use							Vilkår for brug
codex_eula									slutbruger licensaftale

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Vægge og døre
interfacemode_flooring							Gulve
tunnelsearch_underway							TUNNEL-EFTERSØGNING UNDERVEJS
tunnelsearch_found							Tunneller
moveobjects_prompt							DOBBELTKLIK: Flyt objekt
moveobjects_abort							HØJREKLIK: Annullér flytning 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Forskellige slags vægge og døre
buildtoolbar_popup_flooring						Forskellige gulvstile
buildtoolbar_popup_spawn						Åbn fremkaldelsesmenuen.
buildtoolbar_tunnelsearch						Tunnel-eftersøgning

buildtoolbar_tooltip_tunnelsearch					Har du mistanke om et flugtforsøg? Få dine vagter til at lede bag alle toiletter.		

buildtoolbar_GuardResponse						Vagtrespons	
buildtoolbar_tooltip_GuardResponse					Når det er aktiveret, kan du klikke på kortet for at tilkade vagter i nærheden til stedet. Flere klik tilkalder flere vagter. Højreklik for at stoppe.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Flisevæg
material_NewBarredWall							Tremmevæg
material_NewBBlockWall							Hvid væg
material_NewHedgeWall							Hæk
material_NewIronFloor							Jerngulv
material_NewCargoFloor							Lastgulv
material_NewCheckeredFloor						Ternet gulv
material_Snow								Sne


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Dobbeltklik for at følge dette *E

quickbuild_intermediatecell							Forbedret celle
quickbuild_holdingcell								Forvaringscelle
quickbuild_medical								Sygeafsnit
quickbuild_shop									Butik
quickbuild_shower								Bade
quickbuild_staffroom								Personalerum
quickbuild_workshop								Værksted

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27. juni 2019
mm_updatenotes_Header								The Clink-opdateringen
mm_updatenotes_01								Vi har tilføjet x4 nye gluve og x4 nye vægtyper.
mm_updatenotes_02								Ydelsesforbedringer, der hjælper med at reducere indlæsningstider.
mm_updatenotes_03								Vi har øget antallet af værkførere, du kan hyre, for større fængsler, hvor værkførerne også underviser.
mm_updatenotes_04								Eksisterende objekter har alle deres rotationer nu, med nye sprites til de manglende vinkler.
mm_updatenotes_05								Ny "Vagtrespons"-knap, der tilkalder eksisterende vagter i nærheden til et sted, i stedet for at spillerne skal hyre flere vagter til at tage sig af optrin. 
mm_updatenotes_06								Ny "Tunnel-eftersøgning"-knap, der får vagterne til specifikt at gennemsøge alle toiletter efter skjulte flugttunneller.  
mm_updatenotes_07								Vi har føjet flere hurtige rum til hurtigbyggermenuen, så du hurtigere og lettere kan bygge rum.
mm_updatenotes_08								Følgende fanger og personale er blevet meget lettere at dobbeltklikke på.
mm_updatenotes_09								Nu har du milghed for at flytte objekter! Vælg og dobbeltklik et objekt.
mm_updatenotes_10								Vi håber, at du kan lide de nye forbedringer



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Mudder
material_yutaniwall								Mur (yutani)










material_solacofloor							Solaco-gulv 
material_gratefloor								Gitter

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Træ (sneklædt gran)


object_palmtree									Træ (palme)
object_plant									Plante

object_bush										Busk

object_streetlamp								Gadelampe

object_floodlight								Lys (projektør)





		
		

object_bleachers								Tribunebænke
object_smallbench								Bænk (lille)
object_smalltable								Bord (lille)
object_showerpillar								Bruseophæng


object_doorMat									Dørmåtte

object_GuardPavilion							Vagtpavillon
object_GuardPavilionCorner						Vagtpavillon (hjørne)

object_OfficeChair								Stol (kontor)




















object_visitorDoor								Gæstedør
object_ironingBoardShort						Strygebræt (lille)
object_fencegatestaff							Låge (medarbejdere)
object_fencegatestandard						Låge (standard)
object_fencegatevisitor							Låge (gæster)












object_walllight								Væglys
object_securedoor								Dør (sikker)
object_secretdoor								Dør (hemmelig)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Det er mudder, og det er gratis!
buildtoolbar_popup_mat_yutaniwall				Byg mure med højteknologisk udseende på fundamenter for at lave nye områder og rum. Passer godt sammen med last- eller solaco-gulv

buildtoolbar_popup_mat_newbblockwall			Byg mure af slagbeton på fundamenter for at lave nye områder og rum.
buildtoolbar_popup_mat_newbarredwall			Byg gittermure på fundamenter for at lave nye områder og rum.
buildtoolbar_popup_mat_newtiledwall				Byg flisevægge på fundamenter for at lave nye områder og rum.
buildtoolbar_popup_mat_newhedgewall				Høje men svage hække. Ser godt ud, men tjener intet sikkerhedsformål.









buildtoolbar_popup_mat_solacofloor				Giv gulvet et højteknologisk udseende, Passer godt sammen med yutani-mure.
buildtoolbar_popup_mat_gratefloor				Giv gulvet et højteknologisk udseende.
buildtoolbar_popup_mat_newcargofloor			Giv gulvet et specialdesignet udseende.
buildtoolbar_popup_mat_newironfloor				Giv gulvet et specialdesignet udseende.
buildtoolbar_popup_mat_newcheckeredfloor		Det ville nok se godt ud i køkkenet eller kantinen.
buildtoolbar_popup_mat_snow						Ligesom vand – bare koldere og kønnere.





buildtoolbar_popup_obj_snowyconifertree			Ser bedst ud i omgivelser med sne.


buildtoolbar_popup_obj_palmtree					Vokser normalt i tørre områder – men du kan plante dem, hvor du vil.


buildtoolbar_popup_obj_bush						Forskønner udendørsområder lidt.

buildtoolbar_popup_obj_streetlamp				Giver lys på veje og gangstier.

buildtoolbar_popup_obj_floodlight				En høj projektørlampe til udendørs brug. God i fængselsgården.





	


buildtoolbar_popup_obj_bleachers				Klassiske fængselsbænke, hvor fangerne kan sidde og lægge skumle planer.
buildtoolbar_popup_obj_smallbench				Til at sidde på.
buildtoolbar_popup_obj_smalltable				Til at spise på.
buildtoolbar_popup_obj_showerpillar				Til at stille midt i badeværelset med et brusehoved på hver side.


buildtoolbar_popup_obj_doorMat					En billig gulvmåtte, der passer godt foran en dør.


buildtoolbar_popup_obj_guardPavilion			Placeres i fængselsgården eller i åbne områder så vagter kan holde øje med fangerne.\n	Du kan tildele vagter via kommanderingsmenuen.\n -Forøger undertrykkelsesniveauet i det givne område.\n -Vagter har ly for vejret.
buildtoolbar_popup_obj_guardPavilionCorner		Placeres i fængselsgårdens hjørner så vagter kan holde øje med fangerne.\n	Du kan tildele vagter via kommanderingsmenuen.\n -Forøger undertrykkelsesniveauet i det givne område.\n -Vagter har ly for vejret.

buildtoolbar_popup_obj_officeChair				En stol til medarbejdere, der sidder centralt ved et kontorbord.




















buildtoolbar_popup_obj_visitorDoor				En dør som gæster kan gå gennem uden en vagt til at åbne. Vagter og medarbejdere kan også bruge døren, men fanger kan ikke.
buildtoolbar_popup_obj_ironingBoardShort		Et kort strygebræt
buildtoolbar_popup_obj_fencegatestaff			En læge, der ser godt ud sammen med hegn og fungerer ligesom en dør.
buildtoolbar_popup_obj_fencegatestandard		En læge, der ser godt ud sammen med hegn og fungerer ligesom en dør.
buildtoolbar_popup_obj_fencegatevisitor			En læge, der ser godt ud sammen med hegn og fungerer ligesom en dør.












buildtoolbar_popup_obj_walllight				En lampe man kan sætte på vægge.
buildtoolbar_popup_obj_securedoor				En dør designet til isolationsceller. Udstyret med lem til at skubbe mad igennem, så vagten ikke behøver at åbne døren.


interfacedeployment_guards                      Tildel vagter
buildtoolbar_deployment_Guards			Tildel vagter til dit fængsels afdelinger.
	
interfacedeployment_Dogs			Tildel hundeførere
buildtoolbar_deployment_Dogs			Tildel hundeførere til dit fængsels afdelinger.

interfacedeployment_ArmedGuards			Tildel bevæbnede vagter
buildtoolbar_deployment_ArmedGuards		Tildel bevæbnede vagter til dit fængsels afdelinger.

interfacedeployment_patrols                     Tildel vagter
buildtoolbar_deployment_Patrols			Tildel vagter til dit fængsels patruljeringsruter.

interfacedeployment_dogpatrols                  Tildel hundeførere
buildtoolbar_deployment_DogPatrols		Tildel hundeførere til dit fængsels patruljeringsruter.

interfacedeployment_armedpatrols                Tildel bevæbnede vagter
buildtoolbar_deployment_ArmedPatrols		Tildel bevæbnede vagter til dit fængsels patruljeringsruter.

buildtoolbar_popup_help_Guards_1        Vagtværktøjet giver dig mulighed for at positionere Vagter i zoner. En vagt på en post vil bevæge sig tilfældigt rundt i deres tildelte zone og vil udføre enhver Vagtopgave i det område, som f.eks. at åben døre.\n\n
buildtoolbar_popup_help_Guards_2        ~Venstreklik for at øge antallet af indsatte hundeførere i en zone. Højreklik for at fjerne en vagt.\n\n
buildtoolbar_popup_help_Guards_3        ^Tips
buildtoolbar_popup_help_Guards_4        - Hvis Mikroledelse er åben, vil du have adgang til Implementeringens Planlægningsfunktion. Det vil gøre det muligt for dig at lægge en tidsplan for, hvornår vagter er placeret i bestemte områder. Hvis du kun vil have vagter tildelt i kantinen ved måltider, for eksempel, kan du klikke på hver del i Planlægningsfunktionen, dernæst flytte en tidsperiode ind i hver del og klikke på kantinen for at tildele vagter.
buildtoolbar_popup_help_Guards_5        - Du har op til syv forskellige tidsperioder til rådighed i Planlægningen, samt standardfunktionen Altid-aktiv, og du kan derfor skabe komplekse implementeringsrutiner, som passer til de behov, som findes i fængslet. 
buildtoolbar_popup_help_Guards_6        - Hvis du ikke manuelt vælge en tidsperiode, når du fordeler hundeførere , vil Planlægningsfunktionen bruge det nuværende tidspunkt - så sørg for at vælge det korrekte tidspunkt, når du ændrer i Implementeringsplanen!

buildtoolbar_popup_help_Dogs_1        Hundefører-værktøjet giver dig mulighed for at placere hundeførere i zoner. En vagt på en post vil bevæge sig tilfældigt rundt i deres tildelte zone og vil udføre enhver Vagtopgave i det område, som f.eks. at åben døre.\n\n
buildtoolbar_popup_help_Dogs_2        ~Venstreklik for at øge antallet af indsatte hundeførere i en zone. Højreklik for at fjerne en hundeførere .\n\n
buildtoolbar_popup_help_Dogs_3        ^Tips
buildtoolbar_popup_help_Dogs_4        - Hvis Mikroledelse er åben, vil du have adgang til Implementeringens Planlægningsfunktion Det vil gøre det muligt for dig at lægge en tidsplan for, hvornår hundeførere er placeret i bestemte områder. Hvis du kun vil have hundeførere tildelt i kantinen ved måltider, for eksempel, kan du klikke på hver del i Planlægningsfunktionen, dernæst flytte en tidsperiode ind i hver del og klikke på kantinen for at tildele hundeførere.
buildtoolbar_popup_help_Dogs_5        - Du har op til syv forskellige tidsperioder til rådighed i Planlægningen, samt standardfunktionen Altid-aktiv, og du kan derfor skabe komplekse implementeringsrutiner, som passer til de behov, som findes i fængslet. 
buildtoolbar_popup_help_Dogs_6        - Hvis du ikke manuelt vælge en tidsperiode, når du fordeler hundeførere , vil Planlægningsfunktionen bruge det nuværende tidspunkt - så sørg for at vælge det korrekte tidspunkt, når du ændrer i Implementeringsplanen!

buildtoolbar_popup_help_ArmedGuards_1        Værktøjet til bevæbnede vagter giver dig mulighed for at positionere bevæbnede vagter i zoner. En vagt på en post vil bevæge sig tilfældigt rundt i deres tildelte zone og vil udføre enhver vagtopgave i det område, som f.eks. at åben døre.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Venstreklik for at øge antallet af indsatte vagter i en zone. Højreklik for at fjerne en vagt.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Tips
buildtoolbar_popup_help_ArmedGuards_4        - Hvis Mikroledelse er åben, vil du have adgang til Implementeringens Planlægningsfunktion Det vil gøre det muligt for dig at lægge en tidsplan for, hvornår bevæbnede vagter er placeret i bestemte områder. Hvis du kun vil have bevæbnede vagter tildelt i kantinen ved måltider, for eksempel, kan du klikke på hver del i Planlægningsfunktionen, dernæst flytte en tidsperiode ind i hver del og klikke på kantinen for at tildele bevæbnede vagter.
buildtoolbar_popup_help_ArmedGuards_5        - Du har op til syv forskellige tidsperioder til rådighed i Planlægningen, samt standardfunktionen Altid-aktiv, og du kan derfor skabe komplekse implementeringsrutiner, som passer til de behov, som findes i fængslet. 
buildtoolbar_popup_help_ArmedGuards_6        - Hvis du ikke manuelt vælge en tidsperiode, når du fordeler bevæbnede vagter, vil Planlægningsfunktionen bruge det nuværende tidspunkt - så sørg for at vælge det korrekte tidspunkt, når du ændrer Implementeringsplanen!

interfacedeployment_PrioritizeArea			Prioritér område (*X)
buildtoolbar_deployment_PrioritizeGuard		Med denne funktion kan du tildele vagter til bestemte områder i dit fængsel. Hvis du mangler personale, dækker vagterne de prioriterede områder først. Du kan vælge mellem to prioriteter: "Høj" (>>) og "Meget høj" (>>>).

interfacedeployment_BluePatrol				Blå patruljer
buildtoolbar_deployment_BluePatrol			Med kulørte patruljer kan du lave overlap og tildele separate vagter. Klik og træk for at lave en blå patruljerute. Klik og træk for at rydde en blå patruljerute. Brug Tildel Vagt-knapperne for at føje vagter til en patruljerute.

interfacedeployment_MagentaPatrol			Magenta patruljer
buildtoolbar_deployment_MagentaPatrol			Med kulørte patruljer kan du lave overlap og tildele separate vagter. Klik og træk for at lave en magenta patruljerute. Klik og træk for at rydde en magenta patruljerute. Brug Tildel Vagt-knapperne for at føje vagter til en patruljerute.

interfacedeployment_PrioritizePatrol			Prioritér patrulje
buildtoolbar_deployment_PrioritizePatrol		Med denne funktion kan du tildele vagter til bestemte patruljer i dit fængsel. Hvis du mangler personale, dækker vagterne de prioriterede patruljer først. Du kan vælge mellem to prioriteter: "Høj" (>>) og "Meget høj" (>>>).

buildtoolbar_popup_filter_title                 Filterliste
buiildtoolbar_popup_filter_toggle               Klik på knappen for at skifte
buildtoolbar_popup_filter_default               Standard
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Ejet
buildtoolbar_popup_filter_costhighlow           Pris (høj-lav)
buildtoolbar_popup_filter_costlowhigh           Pris (lav-høj)
buildtoolbar_popup_filter_indooroutdoor         Indendørs/udendørs
buildtoolbar_popup_filter_outdoorindoor         Udendørs/indendørs
buildtoolbar_popup_filter_quantity               Kvantitet ejet
buildtoolbar_popup_filter_byroom                Pr. rum






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							Dobbeltklik: Flyt genstand

double_click_add_door							Dobbeltklik på venstre museknap for at tilføje døre.

codex_option_bureaucracyresearched				Bureaukrati udforsket
codex_tooltip_bureaucracyresearched				Start et nyt spil, hvor hele bureaukratitræet er udforsket.

codex_option_jungle						Junglestart
codex_tooltip_jungle						Generér et startområde, der minder om en jungle.

codex_option_snowy						Snestart
