# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Täysi muutoslogi
codex_legal									oikeudellinen
codex_privacy								Tietosuojakäytäntö
codex_terms-of-use							Käyttöehdot
codex_eula									loppukäyttäjän lisenssisopimus

# =============================================================================
# Interface Mode
# =============================================================================
											
interfacemode_wallsanddoors                        			Seinät & ovet
interfacemode_flooring							Lattia
tunnelsearch_underway							TUNNELIA TUTKITAAN
tunnelsearch_found							Tunnelit
moveobjects_prompt							TUPLA-KLIKKAUS: Siirrä tavara
moveobjects_abort							KLIKKAUS OIKEALLA: Peruuta siirto



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors				Erilaisia seiniä ja ovia
buildtoolbar_popup_flooring						Erilaisia lattioita
buildtoolbar_popup_spawn						Avaa luontivalikko
buildtoolbar_tunnelsearch						Tutki tunneli				

buildtoolbar_tooltip_tunnelsearch					Epäiletkö, että joku on pakenemassa? Määrää vartijat tutkimaan vessat ja niiden takaseinät.		

buildtoolbar_GuardResponse							Vartijakutsu
buildtoolbar_tooltip_GuardResponse					Vartijakutsun avulla voit klikata karttaa hiiren vasemmalla näppäimellä kutsuaksesi vartijat paikalle. Mitä useammin klikkaat, sitä useampi vartija saapuu. Klikkaus oikealla näppäimellä lopettaa kutsun.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Tiiliseinä
material_NewBarredWall							Muuri
material_NewBBlockWall							Valkoinen seinä
material_NewHedgeWall							Pensasaita
material_NewIronFloor							Rautalattia
material_NewCargoFloor							Kuljetuslattia
material_NewCheckeredFloor						Shakkilattia
material_Snow								Lumi


# =============================================================================
# Misc
# =============================================================================


double_click_select_desc							Tuplaklikkaa seurataksesi tätä *E

quickbuild_intermediatecell							Paranneltu selli
quickbuild_holdingcell								Putka
quickbuild_medical								Sairastupa
quickbuild_shop									Kioski
quickbuild_shower								Suihku
quickbuild_staffroom								Taukohuone
quickbuild_workshop								Työpaja



# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27. kesäkuuta 2019
mm_updatenotes_Header								The Clink Update
mm_updatenotes_01								4 uutta lattiatyyppiä ja 4 uutta seinää lisätty.
mm_updatenotes_02								Suoritusparannuksia latausaikojen lyhentämiseksi. 
mm_updatenotes_03								Palkattavien esimiesten määrää on lisätty isoja vankiloita silmällä pitäen joissa esimiehet vetävät myös ohjelmia.
mm_updatenotes_04								Olemassa olevat esineet ovat nyt täysin käänneltäviä ja puuttuneet asennot on korjattu.
mm_updatenotes_05								Uusi 'Vartijakutsu' nappula määrää olemassaolevia vartijoita tulemaan paikalle, eikä pelaajan tarvitse enää palkata erillisiä vartijoita hoitamaan ongelmatilanteita. 
mm_updatenotes_06								Uusi 'Tutki tunneli' nappula määrää vartijoita nimenomaisesti tutkimaan kaikki vessat pakotunneleiden varalta. 
mm_updatenotes_07								Uusia pikahuoneita lisätty pikarakennusvalikkoon jotta rakentaminen olisi entistä helpompaa ja nopeampaa.
mm_updatenotes_08								Vankien ja henkilökunnan seuraaminen on tehty paljon helpommaksi tuplaklikkauksella.
mm_updatenotes_09								Esineitä voi nyt siirtää uusiin paikkoihin! Valitse ja tuplaklikkaa esinettä.
mm_updatenotes_10								Toivottavasti nautit pelaamisesta näiden uusien parannusten kanssa!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Muta
material_yutaniwall								Seinä (Yutani)










material_solacofloor							Solaco 
material_gratefloor								Ritilä

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Puu (Luminen havupuu)


object_palmtree									Puu (Palmu)
object_plant									Kasvi

object_bush										Puska

object_streetlamp								Katulamppu

object_floodlight								Valo (Valonheitin)





		
		

object_bleachers								Katsomopenkit
object_smallbench								Penkki (pieni)
object_smalltable								Pöytä (pieni)
object_showerpillar								Suhkupilari


object_doorMat									Ovimatto

object_GuardPavilion							Vartijoiden paviljonki
object_GuardPavilionCorner						Vartijoiden paviljonki (Kulma)

object_OfficeChair								Tuoli (Toimisto)




















object_visitorDoor								Vierailijoiden ovi
object_ironingBoardShort						Silityslauta (Pieni)
object_fencegatestaff							Aidan portti (Henkilökunta)
object_fencegatestandard						Aidan portti (Tavallinen)
object_fencegatevisitor							Aidan portti (Vierailijat)












object_walllight								Seinävalo
object_securedoor								Ovi (Turvallinen)
object_secretdoor								Ovi (Salainen)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Muta ei maksa mitään!
buildtoolbar_popup_mat_yutaniwall				Rakenna teknisen näköisiä seiniä perustusten päälle luodaksesi uusia alueita ja huoneita. Sopii mainiosti kuljetus- tai Solaco-lattiiaan.

buildtoolbar_popup_mat_newbblockwall			Rakenna seiniä kevytharkosta perustusten päälle luodaksesi uusia alueita ja huoneita.
buildtoolbar_popup_mat_newbarredwall			Rakenna muurattuja seiniä perustusten päälle luodaksesi uusia alueita ja huoneita.
buildtoolbar_popup_mat_newtiledwall				Rakenna tiiliseiniä perustusten päälle luodaksesi uusia alueita ja huoneita.
buildtoolbar_popup_mat_newhedgewall				Pensasaita joka on on korkea mutta heiveröinen. Pikemminkin kaunistus kuin turvatoimi.









buildtoolbar_popup_mat_solacofloor				Saa vankilan lattiat näyttämään teknisiltä ja moderneilta. Sopii hienosti Yutani-seiniin.
buildtoolbar_popup_mat_gratefloor				Saa vankilan lattiat näyttämään teknisiltä ja moderneilta.
buildtoolbar_popup_mat_newcargofloor			Saa vankilan lattiat näyttämään mittitilaustyöltä.
buildtoolbar_popup_mat_newironfloor				Saa vankilan lattiat näyttämään mittitilaustyöltä.
buildtoolbar_popup_mat_newcheckeredfloor		Nämä näyttäisivät varmaan hyvältä keittiössä tai ruokalassa.
buildtoolbar_popup_mat_snow						Kuin vettä, mutta kylmempää ja kauniimpaa.





buildtoolbar_popup_obj_snowyconifertree			Näyttää parhaalta lumisella maalla.


buildtoolbar_popup_obj_palmtree					Normaalisti nämä kasvavat kuivalla maalla, mutta nyt voit kasvattaa niitä missä vain.


buildtoolbar_popup_obj_bush						Ripaus koristeellisuutta ulkoalueille.

buildtoolbar_popup_obj_streetlamp				Valaisee tiet ja polut.

buildtoolbar_popup_obj_floodlight				Korkea ulkovalo joka kattaa ison alueen, esimerkiksi pihan.





	


buildtoolbar_popup_obj_bleachers				Jo klassikoksi muodostuneet vankilapihan penkit joilla vangit voivat istuskella ja keskustella seuraavasta siirrostaan.
buildtoolbar_popup_obj_smallbench				Istumiseen.
buildtoolbar_popup_obj_smalltable				Syömiseen.
buildtoolbar_popup_obj_showerpillar				Aseta keskelle suihkuhuonetta ja liitä suihkupää molemmille puolille.


buildtoolbar_popup_obj_doorMat					Halpa kumiovi joka saattaa näyttää hyvältä oviaukkojen edessä.


buildtoolbar_popup_obj_guardPavilion			Tee pihoja ja avoimia alueita joilla vartijat ja aseistetut vartijat voivat tarkkailla vankeja.\n Voit määrätä vartijat asemiin Asemointivalikossa.\n -Lisää alueen nujerrus-tasoa.\n -Vartijat ovat suojassa säältä.
buildtoolbar_popup_obj_guardPavilionCorner		Aseta pihojen ja avoimien alueiden nurkkauksiin jotta vartijat ja aseistetut vartijat voivat tarkkailla vankeja.\n Voit määrätä vartijat asemiin Asemointivalikossa.\n -Lisää alueen nujerrus-tasoa.\n -Vartijat ovat suojassa säältä.

buildtoolbar_popup_obj_officeChair				Tuoli jolla henkilökunta voi istua toimistopöydän keskipisteen ääressä.




















buildtoolbar_popup_obj_visitorDoor				Ovi josta vankilan vierailijat voivat kulkea ilman, että vartijan täytyy avata se. Myös vartijat ja henkilökunta pystyvät käyttämään ovea, mutta vangit eivät.
buildtoolbar_popup_obj_ironingBoardShort		Lyhyempi silitysrauta.
buildtoolbar_popup_obj_fencegatestaff			Portti joka näyttää erinomaiselta aidassa ja joka toimii kuten mikä tahansa ovi.
buildtoolbar_popup_obj_fencegatestandard		Portti joka näyttää erinomaiselta aidassa ja joka toimii kuten mikä tahansa ovi.
buildtoolbar_popup_obj_fencegatevisitor			Portti joka näyttää erinomaiselta aidassa ja joka toimii kuten mikä tahansa ovi.












buildtoolbar_popup_obj_walllight				Bunkkeri-tyylinen seinävalo.
buildtoolbar_popup_obj_securedoor				Eristyssellin ovi jossa on ruokaluukku. Vartijat jotka tuovat ruokaa voivat antaa tarjottimen oven läpi eikä heidän tarvitse mennä itse selliin sisälle.


interfacedeployment_guards                      Määrää vartijoita
buildtoolbar_deployment_Guards			Määrää vartijoita vankilasi osastoille.
	
interfacedeployment_Dogs			Määrää koirayksikkö
buildtoolbar_deployment_Dogs			Määrää koirayksikköjä vankilasi osastoille.

interfacedeployment_ArmedGuards			Määrää aseistettuja vartijoita
buildtoolbar_deployment_ArmedGuards		Määrää aseistettuja vartijoita vankilasi osastoille.

interfacedeployment_patrols                     Määrää vartijoita
buildtoolbar_deployment_Patrols			Määrää vartioita vankilasi partiointireiteille.

interfacedeployment_dogpatrols                  Määrää koirayksikkö
