# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
codex_legal	Impressum
codex_privacy	Datenschutz-Bestimmungen
codex_terms-of-use	Nutzungsbedingungen
codex_eula	Endbenutzer-Lizenzvereinbarung

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Wände & Türen
interfacemode_flooring	Böden
tunnelsearch_underway	TUNNELSUCHE LÄUFT
tunnelsearch_found	Tunnel
moveobjects_prompt	DOPPELKLICK: Objekt bewegen
moveobjects_abort	RECHTSKLICK: Bewegen abbrechen

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Unterschiedliche Arten von Wänden und Türen
buildtoolbar_popup_flooring	Unterschiedliche Arten von Böden
buildtoolbar_popup_spawn	Öffnen Sie das Spawn-Menü.
buildtoolbar_tunnelsearch	Tunnelsuche

buildtoolbar_tooltip_tunnelsearch	Vermuten Sie, dass ein Ausbruchsversuch im Gange ist? Befehlen Sie Ihren Wachen, hinter allen Toiletten nachzusehen.

buildtoolbar_GuardResponse	Wachen rufen
buildtoolbar_tooltip_GuardResponse	Wenn diese Option aktiviert ist, können Sie auf die Karte klicken, um Wachen aus der Nähe an diesen Punkt zu rufen. Je mehr Klicks, desto mehr Wachen kommen. Zum Abbrechen rechtsklicken.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Geflieste Wand
material_NewBarredWall	Gitterwand
material_NewBBlockWall	Weiße Wand
material_NewHedgeWall	Hecke
material_NewIronFloor	Eisenboden
material_NewCargoFloor	Frachtboden
material_NewCheckeredFloor	Karierter Boden
material_Snow	Schnee


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Zum Folgen doppelt linksklicken *E

quickbuild_intermediatecell	Verbesserte Zelle
quickbuild_holdingcell	Gefängniszelle
quickbuild_medical	Krankenstation
quickbuild_shop	Laden
quickbuild_shower	Dusche
quickbuild_staffroom	Personalzimmer
quickbuild_workshop	Werkstatt

# =============================================================================
# Main Menu
# =============================================================================


