# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Πλήρες αρχείο καταγραφής αλλαγών
codex_legal									Νομικός
codex_privacy								πολιτική απορρήτου
codex_terms-of-use							Οροι χρήσης
codex_eula									άδειας χρήσης τελικού χρήστη

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Τοίχοι και Πόρτες
interfacemode_flooring							Δάπεδο
tunnelsearch_underway							ΑΝΑΖΗΤΗΣΗ ΣΗΡΑΓΓΑΣ ΣΕ ΕΞΕΛΙΞΗ
tunnelsearch_found							Σήραγγες
moveobjects_prompt							ΔΙΠΛΟ ΚΛΙΚ: Μετακίνηση αντικειμένου
moveobjects_abort							ΔΕΞΙ ΚΛΙΚ: Ακύρωση κίνησης 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Διαφορετικοί τύποι τοίχων και πορτών
buildtoolbar_popup_flooring						Διαφορετικά στυλ δαπέδου
buildtoolbar_popup_spawn						Ανοίξτε το Μενού Εκκίνησης
buildtoolbar_tunnelsearch						Αναζήτηση σήραγγας

buildtoolbar_tooltip_tunnelsearch					Υποψιάζεστε ότι μια απόπειρα απόδρασης είναι σε εξέλιξη; Διατάξτε τους φύλακες σας να ψάξουν πίσω από όλες τις τουαλέτες.		

buildtoolbar_GuardResponse						Απόκριση Φύλακα	
buildtoolbar_tooltip_GuardResponse					Όταν ενεργοποιηθεί, μπορείτε να κάνετε αριστερό κλικ στο χάρτη για να καλέσετε φρουρούς που βρίσκονται κοντά σε μια τοποθεσία. Με περισσότερα κλικ θα καλέσετε περισσότερους φρουρούς. Κάντε δεξί κλικ για να σταματήσετε.

# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Τοίχος με πλακάκια
material_NewBarredWall							Τοίχος με κάγκελα
material_NewBBlockWall							Λευκός Τοίχος
material_NewHedgeWall							Φράχτης
material_NewIronFloor							Σιδερένιο Δάπεδο
material_NewCargoFloor							Cargo Δάπεδο
material_NewCheckeredFloor						Καρό Δάπεδο
material_Snow								Χιόνι


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Κάντε διπλό αριστερό κλικ για να ακολουθήσετε αυτό το *E

quickbuild_intermediatecell							Βελτιωμένο Κελί
quickbuild_holdingcell								Κελί κράτησης
quickbuild_medical								Ιατρείο
quickbuild_shop									Κατάστημα
quickbuild_shower								Ντους
quickbuild_staffroom								Δωμάτιο προσωπικού
quickbuild_workshop								Εργαστήρι

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27 Ιουνίου 2019
mm_updatenotes_Header								Η ενημέρωση Clink
mm_updatenotes_01								x4 νέα πλακάκια δαπέδου και x4 νέους τύπους τοίχων που προστέθηκαν.
mm_updatenotes_02								Βελτιώσεις απόδοσης για να μειώσετε το χρόνο φόρτωσης.
mm_updatenotes_03								Αυξήθηκε ο αριθμός των εργοδηγών που μπορούν να προσληφθούν, για μεγαλύτερες φυλακές, όπου και διδάσκουν προγράμματα.
mm_updatenotes_04								Τα υπάρχοντα αντικείμενα έχουν τώρα πλήρη σειρά περιστροφών, με νέα sprites να προστίθενται για προσανατολισμούς που λείπουν.
mm_updatenotes_05								Νέο κουμπί "Απόκριση Φύλακα" που εντοπίζει φρουρούς που βρίσκονται κοντά σε μια τοποθεσία, αντί για παίκτες που χρειάζονται να προσλάβουν επιπλέον φύλακες για να αντιμετωπίσουν περιστατικά.
mm_updatenotes_06								Νέο κουμπί "Αναζήτηση σήραγγας" που δίνει εντολή στους φρουρούς να αναζητούν ειδικά όλες τις τουαλέτες για κρυφές σήραγγες διαφυγής.  
mm_updatenotes_07								Έξτρα Γρήγορα Δωμάτια που προστέθηκαν στο μενού Quick Build για γρήγορη και εύκολη κατασκευή δωματίων.
mm_updatenotes_08								Η ακολούθηση των κρατουμένων και του προσωπικού γίνεται πολύ πιο εύκολο κάνοντας διπλό κλικ πάνω τους.
mm_updatenotes_09								Η δυνατότητα μετακίνησης και μεταφοράς αντικειμένων είναι εδώ! Επιλέξτε και κάντε διπλό κλικ σε ένα αντικείμενο.
mm_updatenotes_10								Ελπίζουμε να σας αρέσει το παιχνίδι με αυτές τις νέες βελτιώσεις!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Λάσπη
material_yutaniwall								Τοίχος (Yutani)










material_solacofloor							Solaco 
material_gratefloor								Κελί

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Δέντρο (Χιονισμένο Κωνοφόρο)


object_palmtree									Δέντρο (Φοίνικας)
object_plant									Φυτό

object_bush										Θάμνος

object_streetlamp								Φωτισμός Δρόμου

object_floodlight								Λαμπτήρας (Λαμπτήρας Πλημμύρας)





		
		

object_bleachers								Θρανία
object_smallbench								Πάγκος (Μικρός)
object_smalltable								Τραπέζι (Μικρό)
object_showerpillar								Στύλος Ντους


object_doorMat									Χαλάκι Πόρτας

object_GuardPavilion							Κιόσκι Φύλακα
object_GuardPavilionCorner						Κιόσκι Φύλακα (Γωνιακό)

object_OfficeChair								Καρέκλα (Γραφείου)




















object_visitorDoor								Θύρα Επισκεπτών
object_ironingBoardShort						Σιδερώστρα (Μικρή)
object_fencegatestaff							Πύλη Φράκτη (Προσωπικού)
object_fencegatestandard						Πύλη Φράκτη (Κανονική)
object_fencegatevisitor							Πύλη Φράκτη (Επισκεπτών)












object_walllight								Φωτισμός Τοίχου
object_securedoor								Πόρτα (Ασφαλείας)
object_secretdoor								Πόρτα (Μυστική)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Είναι λάσπη, και είναι τζάμπα!
buildtoolbar_popup_mat_yutaniwall				Χτίσε τοίχους με εμφάνισης υψηλής τεχνολογίας πάνω στα θεμέλια, για να δημιουργήσεις νέες περιοχές και χώρους. Ταιριάζει θαυμάσια με το δάπεδο Cargo ή Solaco.

buildtoolbar_popup_mat_newbblockwall			Χτίσε τοίχους από τσιμεντόλιθους πάνω στα θεμέλια, για να δημιουργήσεις νέες περιοχές και χώρους.
buildtoolbar_popup_mat_newbarredwall			Χτίσε τμήματα καγκελωτών τοίχων πάνω στα θεμέλια, για να δημιουργήσεις νέες περιοχές και χώρους.
buildtoolbar_popup_mat_newtiledwall				Χτίσε τοίχους με κεραμίδια πάνω στα θεμέλια, για να δημιουργήσεις νέες περιοχές και χώρους.
