# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Tejes változáslista
codex_legal									Jogi
codex_privacy								Adatvédelmi irányelvek
codex_terms-of-use							Használati feltételek
codex_eula									végfelhasználói licencszerzodés

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Falak és ajtól
interfacemode_flooring							Padló
tunnelsearch_underway							ALAGÚT KERESÉS FOLYAMATBAN
tunnelsearch_found							Alagutak
moveobjects_prompt							DUPLA KATTINTÁS: Tárgy mozgatása
moveobjects_abort							JOBB KATTINTÁS: Mozgatás visszavonása 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Különbözõ típusú falk és ajtók
buildtoolbar_popup_flooring						Különbözõ sílusú padlók
buildtoolbar_popup_spawn						Spawn menü megnyitása.
buildtoolbar_tunnelsearch						Alagút keresés

buildtoolbar_tooltip_tunnelsearch					Szökési kísérletet szimatolsz? Add parancsba az összes õrnek, hogy nézzenek be minden WC mögé.		

buildtoolbar_GuardResponse						Õr reakciója	
buildtoolbar_tooltip_GuardResponse					Ha aktiválva van, bal gombbal a térképre kattintva odahívhatod az adott helyre a közelben lévõ õröket. Több kattintás több õrt hív. Jobb kattintással állíthatod le.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Csempézett fal
material_NewBarredWall							Csupasz téglafal
material_NewBBlockWall							Fehér fal
material_NewHedgeWall							Sövény
material_NewIronFloor							Vas padló
material_NewCargoFloor							Plató padló
material_NewCheckeredFloor						Kockás padló
material_Snow								Hó


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Dupla bal kattintással követhetsz *E

quickbuild_intermediatecell							Továbbfejlesztett cella
quickbuild_holdingcell								Elzáró cella
quickbuild_medical								Orvosi szoba
quickbuild_shop									Bolt
quickbuild_shower								Tusoló
quickbuild_staffroom								Személyzeti szoba
quickbuild_workshop								Mûhely

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								2019. június 27.
mm_updatenotes_Header								Börtönfrissítés
mm_updatenotes_01								x4 új padlólap és x4 új fal típussal bõvült.
