# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
codex_legal	Condizioni D'uso
codex_privacy	Politica Sulla Riservatezza
codex_terms-of-use	Termini di Utilizzo
codex_eula	Contratto di Licenza per L'utente

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Pareti e porte

interfacemode_flooring	Pavimenti
tunnelsearch_underway	ISPEZIONE TUNNEL IN CORSO
tunnelsearch_found	Tunnel
moveobjects_prompt	DOPPIO CLIC: Sposta oggetto
moveobjects_abort	CLIC DESTRO: Annulla spostamento

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Diversi tipi di pareti e porte
buildtoolbar_popup_flooring	Diversi stili di pavimento
buildtoolbar_popup_spawn	Apri il menu Genera.
buildtoolbar_tunnelsearch	Ispezione tunnel

buildtoolbar_tooltip_tunnelsearch	Sospetti che ci sia un tentativo di fuga in corso? Ordina alle guardie di ispezionare dietro i gabinetti.

buildtoolbar_GuardResponse	Risposta delle guardie
buildtoolbar_tooltip_GuardResponse	Quando è attivata, puoi fare clic sulla mappa per chiamare le guardie nelle vicinanze verso una data posizione. Fai clic più volte per chiamare più guardie. Fai clic destro per fermarle.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Parete a piastrelle
material_NewBarredWall	Parete a sbarre
material_NewBBlockWall	Parete bianca
material_NewHedgeWall	Siepe
material_NewIronFloor	Pavimento in ferro
material_NewCargoFloor	Pavimento cargo
material_NewCheckeredFloor	Pavimento a scacchi
material_Snow	Neve


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Fai clic due volte per seguire questo *E

quickbuild_intermediatecell	Cella migliorata
quickbuild_holdingcell	Cella di detenzione
quickbuild_medical	Infermeria
quickbuild_shop	Negozio
quickbuild_shower	Doccia
quickbuild_staffroom	Sala personale
quickbuild_workshop	Officina

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 giugno 2019
mm_updatenotes_Header	Aggiornamento "La cella"
mm_updatenotes_01	Aggiunti 4 nuovi pavimenti e 4 nuovi tipi di pareti.
mm_updatenotes_02	Prestazioni migliorate per ridurre i tempi di caricamento.
mm_updatenotes_03	Aumentato il numero di capomastri che puoi assumere, per le carceri più grandi in cui i capomastri sono anche insegnanti.
mm_updatenotes_04	Ora gli oggetti esistenti hanno una serie completa di rotazioni, con nuovi sprite aggiunti per le angolazioni mancanti.
mm_updatenotes_05	Nuovo pulsante "Risposta delle guardie" che fa accorrere le guardie nelle vicinanze in una posizione, per non costringere il giocatore ad assumere altre guardie per rispondere agli incidenti.
mm_updatenotes_06	Nuovo pulsante "Ispezione tunnel" che ordina specificamente alle guardie di cercare tunnel di fuga nascosti dietro i gabinetti.
mm_updatenotes_07	Altre stanze veloci aggiunte al menu Costruisci velocemente, per una costruzione più semplice e veloce delle stanze.
mm_updatenotes_08	Seguire detenuti e personale ora è molto più semplice, basta un doppio clic.
mm_updatenotes_09	Ora puoi spostare e trasferire oggetti! Seleziona un oggetto e fai doppio clic.
mm_updatenotes_10	Speriamo che ti piacciano queste novità!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Fango
material_mud	Fango
material_yutaniwall	Parete (Yutani)










material_solacofloor	Solaco
material_gratefloor	Grata

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Albero (conifera innevata)


object_palmtree	Albero (palma)
object_plant	Pianta

object_bush	Cespuglio

object_streetlamp	Lampione stradale

object_floodlight	Luce (riflettore)








object_bleachers	Gradinate
object_smallbench	Panca (piccola)
object_smalltable	Tavolo (piccolo)
object_showerpillar	Pilastro per docce


object_doorMat	Zerbino

object_GuardPavilion	Padiglione guardie
object_GuardPavilionCorner	Padiglione guardie (angolo)

object_OfficeChair	Sedia (ufficio)




















object_visitorDoor	Porta per visitatori
object_ironingBoardShort	Asse da stiro (piccola)
object_fencegatestaff	Cancello del recinto (personale)
object_fencegatestandard	Cancello del recinto (standard)
object_fencegatevisitor	Cancello del recinto (visitatori)












object_walllight	Lampada a muro
object_securedoor	Porta (di sicurezza)
object_secretdoor	Porta (segreta)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	È fango! Ed è gratis!
buildtoolbar_popup_mat_yutaniwall	Costruisci pareti con un look hi-tech, per creare nuove aree o stanze. Si abbina bene con i pavimenti Cargo o Solaco.

buildtoolbar_popup_mat_newbblockwall	Costruisci pareti con blocchi decorativi, per creare nuove aree o stanze.
buildtoolbar_popup_mat_newbarredwall	Costruisci pareti con grate, per creare nuove aree o stanze.
buildtoolbar_popup_mat_newtiledwall	Costruisci pareti piastrellate, per creare nuove aree o stanze.
buildtoolbar_popup_mat_newhedgewall	Siepi: alte ma deboli. Belle, ma piuttosto inutili ai fini della sicurezza.









buildtoolbar_popup_mat_solacofloor	Dai un aspetto hi-tech al pavimento della prigione. Si abbina bene con le pareti Yutani.
buildtoolbar_popup_mat_gratefloor	Dai un aspetto hi-tech al pavimento della prigione.
buildtoolbar_popup_mat_newcargofloor	Dai un aspetto su misura al pavimento della prigione.
buildtoolbar_popup_mat_newironfloor	Dai un aspetto su misura al pavimento della prigione.
buildtoolbar_popup_mat_newcheckeredfloor	Perfetto per cucine o mense.
buildtoolbar_popup_mat_snow	Come l'acqua, ma più fredda e più bella.





buildtoolbar_popup_obj_snowyconifertree	Particolarmente appropriato sui terreni innevati.


buildtoolbar_popup_obj_palmtree	Di solito cresce sui terreni aridi, ma tu puoi decidere di farla spuntare dove vuoi.


buildtoolbar_popup_obj_bush	Un tocco decorativo alle aree esterne.

buildtoolbar_popup_obj_streetlamp	Per illuminare strade e sentieri.

buildtoolbar_popup_obj_floodlight	Un'alta luce da esterni che può illuminare aree ampie, come per esempio i cortili.








buildtoolbar_popup_obj_bleachers	Classiche gradinate da cortile carcerario, su cui i detenuti possono sedere e valutare le loro prossime mosse.
buildtoolbar_popup_obj_smallbench	Per sedersi.
buildtoolbar_popup_obj_smalltable	Per mangiare.
