
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新規
dialog_load	ロード
dialog_save	保存
dialog_saveas	名前をつけて保存
dialog_delete	削除
dialog_width	幅
dialog_height	高さ
dialog_name	名前
dialog_type	タイプ
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	終了
dialog_cancel	キャンセル
dialog_ok	OK
dialog_open	開く
dialog_close	閉じる
dialog_closed	閉
dialog_add	追加
dialog_up	上
dialog_down	下
dialog_yes	はい
dialog_no	いいえ
dialog_loading	ロード中...
dialog_low	低
dialog_medium	中
dialog_high	高
dialog_none	なし
ellipsis	...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	セリフ編集ツール
dialogeditor_back	後ろ
dialogeditor_front	前
dialogeditor_reloadlanguage	言語をリロード
dialogeditor_test	テスト
dialogeditor_window	ウィンドウ
dialogeditor_grid	グリッド
dialogeditor_caption	説明テキスト
dialogeditor_component	部分
dialogeditor_select	選択
dialogeditor_create	作成
dialogeditor_background	背景画像
dialogeditor_panel	パネル

dialogcomponent_custom	カスタム
dialogcomponent_button	ボタン
dialogcomponent_container	コンテナ
dialogcomponent_caption	説明テキスト
dialogcomponent_titlecaption	表題
dialogcomponent_checkbox	チェクボックス
dialogcomponent_inputfield	フィールド入力
dialogcomponent_inputslider	スライダー入力
dialogcomponent_dropdownmenu	ドロップダウンメニュー
dialogcomponent_selectionlist	選択リスト
dialogcomponent_selectionlistitem	選択リストアイテム
dialogcomponent_scrollbar	スクロールバー
dialogcomponent_progressbar	プログレスバー
dialogcomponent_canvas	キャンバス
dialogcomponent_iconbox	アイコンボックス

dialogposition_absolute	不動
dialogposition_relative	相対
dialogposition_scaled	スケール


# =============================================================================
# Profiler
# =============================================================================

profiler_title	プロファイラ
profiler_name	名前
profiler_timings	タイミング
profiler_totaltime	合計
profiler_glfinishcaption	glFinish
profiler_reset	リセット


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title	サウンドチャンネル
soundeditor_title	サウンドエディタ
soundinstanceeditor_title	サウンドキューエディタ

soundeditor_positiontitle	位置タイプ
soundeditor_instancetitle	キュータイプ
soundeditor_looptitle	ループタイプ
soundeditor_sourcetypetitle	サウンドタイプ
soundeditor_soundnametitle	サウンド名

soundeditor_volumetitle	音量
soundeditor_frequencytitle	頻度
soundeditor_mindistancetitle	最低距離
soundeditor_attacktitle	アタック
soundeditor_sustaintitle	持続性
soundeditor_releasetitle	リリース
soundeditor_loopdelaytitle	ループ遅延
soundeditor_dsptitle	DSP
soundeditor_nexteventtitle	次のイベント

soundeditor_play	プレイ
soundeditor_stop	ストップ

soundparametereditor_title	サウンド設定値
soundparametereditor_typetitle	タイプ
soundparametereditor_linktitle	リンク先
soundparametereditor_updatetitle	アップデートタイプ
soundparametereditor_smoothing	補正
soundparametereditor_chaintitle	チェーン

soundeditor_newdsp	DSP追加
sounddspeditor_title	DSPエディタ
samplebankeditor_title	サンプルエディタ
samplebankeditor_addsample	サウンド追加
samplebank	（サウンドサンプル）


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done	完了
interfacemode_destroy	削除
interfacemode_foundations	基礎
interfacemode_construction	材料
interfacemode_planning	企画
interfacemode_objects	物体
interfacemode_designation	部屋
interfacemode_utilities	電気＆水道
interfacemode_staff	職員
interfacemode_deployment	配置
interfacemode_logistics	施設管理
interfacemode_prisoners	受刑者
interfacemode_needs	ニーズ
interfacemode_threats	リスク
interfacemode_overlays	オーバーレイ
interfacemode_research	役所仕事
interfacemode_emergencies	緊急
interfacemode_clone	コピー
interfacemode_contraband	機密情報
interfacemode_grading	評価
interfacemode_spawn	（開始ポイント）
interfacemode_properties	（プロパティ）
interfacemode_cutscenes	（ムービー）
interfacemode_selection	選択
interfacemode_prefabs	クイックビルド

interfaceoverlay_security	セキュリティ
interfaceoverlay_patrols	パトロール
interfaceoverlay_decay	劣化
interfaceoverlay_territory	縄張り
interfaceoverlay_contraband	禁制品

interfaceproperty_indoor	屋内
interfaceproperty_visible	可視エリア
interfaceproperty_territoryprisoner	ギャング
interfaceproperty_territoryguard	看守
interfaceproperty_sectorprisoner	暴動中
interfaceproperty_tunnel	トンネル

interfacedeployment_guards	看守
interfacedeployment_patrols	パトロール（看守）
interfacedeployment_dogpatrols	パトロール（警察犬）
interfacedeployment_armedpatrols	パトロール（武装）
interfacedeployment_removeguards	看守を外す
interfacedeployment_clearpatrols	パトロールをストップ
interfacedeployment_targetting	施設管理
interfacedeployment_targettingfood	食料支援
interfacedeployment_targettinglaundry	洗濯支援
interfacedeployment_securearea	安全エリア
interfacedeployment_sharedzone	共有
interfacedeployment_staffonlyzone	職員のみ
interfacedeployment_maxseczone	厳重警備の受刑者のみ
interfacedeployment_medseczone	中警備の受刑者のみ
interfacedeployment_minseczone	軽警備の受刑者のみ
interfacedeployment_protectedzone	保護拘置の受刑者のみ
interfacedeployment_supermaxzone	超厳重警備の受刑者のみ
interfacedeployment_deathrowzone	死刑囚のみ
interfacedeployment_unlockedzone	施錠なし
interfacedeployment_zonered	赤ウィング
interfacedeployment_zonegreen	緑ウィング
interfacedeployment_zoneblue	青ウィング
interfacedeployment_zoneyellow	黄ウィング
interfacedeployment_zoning	ゾーニング
interfacedeployment_accessonly	アクセスのみ
interfacedeployment_prisonerdirection	受刑者用案内
interfacedeployment_staffdirection	その他の人用案内

interfacelogistics_jobs	囚人労働
interfacelogistics_removejobs	囚人労働をキャンセル
interfacelogistics_targettingfood	食料の供給
interfacelogistics_targettinglaundry	洗濯物の供給
interfacelogistics_roomquality	部屋のクオリティ
interfacelogistics_weathermap	気温

interfaceplanning_wall	壁
interfaceplanning_object	物体
interfaceplanning_route	通路
interfaceplanning_clear	クリア
interfaceplanning_zone1	ゾーン1
interfaceplanning_zone2	ゾーン2
interfaceplanning_zone3	ゾーン3
interfaceplanning_zone4	ゾーン4
interfaceplanning_zone5	ゾーン5
interfaceplanning_zone6	ゾーン6
interfaceplanning_zone7	ゾーン7
interfaceplanning_zone8	ゾーン8
interfaceplanning_zone9	ゾーン9

interfacecontraband_source	危険
interfacecontraband_day	-24時間
interfacecontraband_week	-7日
interfacecontraband_alltime	-3日
interfacecontraband_stolenfrom	盗まれた場所
interfacecontraband_informants	密告者
interfacecontraband_gangs	ギャング

interfacecallout_fireengine	消防車
interfacecallout_riotpolice	機動隊
interfacecallout_armedpolice	武装隊
interfacecallout_paramedics	救急隊
interfacecallout_soldiers	兵士

interfaceclone_copy	コピー
interfaceclone_paste	ペースト
interfaceclone_cancel	クイックビルドをキャンセル
interfaceclone_clone	クローン

interfacetopbar_todo	タスク
interfacetopbar_balance	口座 *B
interfacetopbar_budget	キャッシュフロー *C
interfacetopbar_income	収益 *I
interfacetopbar_expenses	コスト *C
interfacetopbar_day	日数 *D

interfacetopbar_title_balance	口座残高
interfacetopbar_title_budget	キャッシュフロー
interfacetopbar_title_cctv	監視カメラ
interfacetopbar_title_day	日数
interfacetopbar_title_prisoners	受刑者
interfacetopbar_title_guards	看守
interfacetopbar_title_tension	危険度
interfacetopbar_title_weathericon	天気

interfacetopbar_tooltip_balance	銀行口座にある現金の額。\n\n資金をもっと手に入れるには、クリックしてリスト内の助成金制度を利用しよう。
interfacetopbar_tooltip_budget	1日に受け取ることのできる額。現在の支出と収入によって決定される。\n\nクリックすると支出と収入の内訳を見ることができる。
interfacetopbar_tooltip_cctv	現在所持している監視カメラとモニターの数。
interfacetopbar_tooltip_day	刑務所を経営し始めてからの期間。
interfacetopbar_tooltip_prisoners	現在収容している受刑者の数および収容できる最高人数。
interfacetopbar_tooltip_guards	刑務所で働かせることのできる看守の数。
interfacetopbar_tooltip_tension	看守長が考える、刑務所の全般的な危険度。
interfacetopbar_tooltip_weathericon	現在の天気と気温。

interfacetopbar_tooltip_recenttransactions	最近の取引き

interfacetopbar_tooltip_gametime	合計プレイ時間：*X時間*Y分*Z秒

interfacetopbar_tooltip_totalguards	合計看守数：*X
interfacetopbar_tooltip_guardincapacitated	負傷中：*X
interfacetopbar_tooltip_guardstationed	配置済み：*X
interfacetopbar_tooltip_guardpatrolling	パトロール中：*X
interfacetopbar_tooltip_guardavailable	使用可能：*X
interfacetopbar_tooltip_guardresting	休憩中：*X
interfacetopbar_tooltip_guardonbreak	休憩中:*X
interfacetopbar_tooltip_guardwantsabreak	（*Xは休憩が必要）
interfacetopbar_tooltip_guardactive	（事件に対応中：*X）
interfacetopbar_tooltip_guarddoingjob	仕事中：*X
interfacetopbar_tooltip_idle	(*X人がヒマ）
interfacetopbar_tooltip_guardsstriking	ストライキ中:*X

interfacetopbar_tooltip_regularguards	*X人の通常の看守が勤務
interfacetopbar_tooltip_armedguards	*X人の武装警備員が勤務
interfacetopbar_tooltip_dogs	*X人の警察犬訓練士が勤務
interfacetopbar_tooltip_snipers	*X人のスナイパーが勤務

interfacetopbar_unlimitedfunds	無限の資金
interfacetopbar_cheatsenabled	チートが有効になっています

interfacetopbar_budget_moneyin	収入：*Mドル（日）
interfacetopbar_budget_moneyout	支出：*Mドル（日）
interfacetopbar_budget_cantgonegative	財政管理をしてくれる会計士を雇うまでは、キャッシュフローをマイナス（例：支出が収入を上回る状態）にすることはできません。

interfacetopbar_prisoners_types	現在収容中の受刑者：*X
interfacetopbar_prisoners_capacity	最大安全収容数：*X
interfacetopbar_prisonercells_shared	相部屋の収容数：*X
interfacetopbar_prisonercells_unlocked	施錠なしエリアの収容数：*X
interfacetopbar_prisonercells_minseconly	軽警備棟の収容数：*X
interfacetopbar_prisonercells_medseconly	中警備棟の収容数：*X
interfacetopbar_prisonercells_maxseconly	厳重警備棟の収容数：*X
interfacetopbar_prisonercells_protectedonly	保護拘置棟の収容数：*X
interfacetopbar_prisonercells_supermaxonly	超厳重警備棟の収容数：*X
interfacetopbar_prisonercells_deathrowonly	死刑囚棟の収容数：*X
interfacetopbar_prisonercells_staffonly	使用できない職員数：*X
interfacetopbar_prisoners_nocells	入る独房がない受刑者数：*X
interfacetopbar_prisonercells_parents	ペアレンタルコントロール許容度：*X

interfacetopbar_cctv_current	使用中の監視カメラ数*X
interfacetopbar_cctv_cap	使用できる監視カメラ数：*X

interfacetopbar_tension_currentlevel	危険レベルは*X
interfacetopbar_tension_currentlevellow	低
interfacetopbar_tension_currentlevelmedium	中
interfacetopbar_tension_currentlevelhigh	高
interfacetopbar_tension_increasing	で、現在上昇中
interfacetopbar_tension_decreasing	で、現在減少中
interfacetopbar_tension_description	要因：
interfacetopbar_tension_happyprisoners	- 待遇は悪くないと感じている受刑者*X人→危険度ダウン
interfacetopbar_tension_unhappyprisoners	+ 深刻な不満を抱えている受刑者*X人→危険度アップ
interfacetopbar_tension_lockedupprisoners	+ 独房内で手錠を掛けられている受刑者、または隔離棟に入れられている受刑者*X人→危険度アップ
interfacetopbar_tension_riotingprisoners	+ 暴動を起こしている受刑者*X人→危険度アップ
interfacetopbar_tension_wellfedprisoners	- 十分な食事を与えられている受刑者*X人→危険度ダウン
interfacetopbar_tension_suppressedprisoners	= 抑制を受けている受刑者*X人→危険度変化なし
interfacetopbar_tension_activeriotguards	+ 出動中の機動隊員*X人→危険度アップ
interfacetopbar_tension_activearmedguards	+ 任務中の武装警備員*X人→危険度アップ
interfacetopbar_tension_recentdeaths	+ 最近出た死亡者*X人→危険度アップ
interfacetopbar_tension_recentsearches	+ 理由もなくボディーチェックをされた受刑者*X人→危険度アップ
interfacetopbar_tension_angrygangmembers	+ リーダーが罰を与えられたことで憤慨しているギャングメンバー*X人→危険度アップ
interfacetopbar_tension_recentpunishments	= 抑止効果を狙って最近与えられた処罰*X件→危険度変化なし
interfacetopbar_tension_recentcalmed	- 最近落ち着きを取り戻した受刑者*X人→危険度ダウン
interfacetopbar_tension_staffmorale_low	+ 職員の意欲が低い
interfacetopbar_tension_staffmorale_high	- 職員の意欲が高い
interfacetopbar_tension_staffonstrike	+ 職員はストライキ中だ
interfacetopbar_tension_dangerzone	+ 危険ゾーン！

interfacetopbar_staffmorale_title	職員の意欲
interfacetopbar_staffmorale_happystaff	+ *X人の職員が、仕事に満足している
interfacetopbar_staffmorale_unhappystaff	- *X人の職員から深刻な苦情を受けた
interfacetopbar_staffmorale_injuredstaff	- *X人の職員が負傷している
interfacetopbar_staffmorale_staffdeaths	- *X人の職員が勤務中に死亡した
interfacetopbar_staffmorale_staffpayverygood	+ 職員の給与は非常に高い
interfacetopbar_staffmorale_staffpaygood	+ 職員の給与は高い
interfacetopbar_staffmorale_staffpaybad	- 職員の給与は不十分だ

interfacecontrol_mainmenu	メインメニュー（Esc）
interfacecontrol_mainmenu_tooltip	メインメニューの切り替え（新規/ロード/保存/終了など）
interfacecontrol_todo	タスクリスト
interfacecontrol_todo_tooltip	タスクの切り替え
interfacecontrol_research	役所仕事
interfacecontrol_research_tooltip	「役所仕事」画面を開き、管理職員に新しいアイテムや職員タイプ、施設などをアンロックさせることができる。
interfacecontrol_grading	刑務所評価
interfacecontrol_grading_tooltip	「刑務所評価」画面を開き、刑務所の経営状態に関する全般的な評価を見ることができる。

interface_confirmlandbuy	本当に*Xドル払ってこの土地を購入しますか？
interface_loadconfirm	本当にこのマップをロードしますか？続ける場合は、保存済みでないゲーム経過は失われます。
interface_saveconfirm	本当にこのファイル名で保存しますか？続ける場合は、現存のデータは上書きされます。

interface_landbuylabel	*Xm x *Ym。合計面積は*A平方メートル。*C

interface_action_dismantle	取り壊す
interface_action_dump	捨てる
interface_action_repair	修理
interface_action_medicalbay	医療室
interface_action_search	調べる
interface_action_searchcell	独房を調べる
interface_action_searchcellblock	独房棟を調べる
interface_action_searchtoilets	トイレを調べる
interface_action_sack	解雇
interface_action_dooropen	ドアを開ける
interface_action_doormodenormal	ドアモード：ノーマル
interface_action_doormodelockedshut	鍵あり（閉）
interface_action_doormodelockedopen	鍵あり（開）
interface_action_switchon	スイッチオン
interface_action_switchoff	スイッチオフ
interface_action_sellobject	売る
interface_action_dismiss	解雇
interface_action_connect	つなげる
interface_action_clearconnections	解除
interface_action_servoopen	スイッチオンで開ける
interface_action_servoclose	スイッチオンで閉める
interface_action_follow	コピー
interface_action_rapsheet	ラップシートを表示

interface_contents_container	内容物：*X
interface_contents_stack	内容物：*X x *Y

interface_skip	スキップ

interface_error_riotmove	暴動中につき進入不可

interface_foundationsinprogress	基礎を建設中
riot_underway	暴動が進行中
riot_status_prisoners	暴動に参加している受刑者：*X
shakedown_underway	ガサ入れ進行中
shakedown_found	発見：

gameover_caption	ゲームを続けるにはESCを押そう

sector_jobs_max	最大の仕事数：*X
sector_jobs_qualified	条件を満たした受刑者：*X
sector_jobs_required	（必要数：*X）
sector_noaccess	アクセス不可
