# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	変更履歴
codex_legal	法務
codex_privacy	個人情報保護方針
codex_terms-of-use	利用規約
codex_eula	エンドユーザーライセンス契約

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	壁 & ドア
interfacemode_flooring	フロアリング
tunnelsearch_underway	トンネルサーチ実行中
tunnelsearch_found	トンネル
moveobjects_prompt	ダブルクリック: オブジェクトを動かす
moveobjects_abort	右クリック: オブジェクトの移動をキャンセル

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	様々な種別の壁とドア
buildtoolbar_popup_flooring	様々なフロアスタイル
buildtoolbar_popup_spawn	スポーンメニューを開きます。
buildtoolbar_tunnelsearch	トンネルサーチ

buildtoolbar_tooltip_tunnelsearch	脱走の企てが進んでいると疑われる時は、守衛に命令して、すべてのトイレの後ろを捜索させてください。

buildtoolbar_GuardResponse	守衛の応答
buildtoolbar_tooltip_GuardResponse	有効にすると、マップを左クリックすることで付近の守衛を特定の場所に派遣できます。クリックするごとにさらに守衛が呼ばれます。右クリックでストップします。


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	タイルの壁
material_NewBarredWall	鉄格子の壁
material_NewBBlockWall	白い壁
material_NewHedgeWall	垣根
material_NewIronFloor	鉄のフロア
material_NewCargoFloor	カーゴのフロア
material_NewCheckeredFloor	チェックのフロア
material_Snow	床


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	左ダブルクリックで、この*Eに追従します

quickbuild_intermediatecell	強化房
quickbuild_holdingcell	待機房
quickbuild_medical	メディカル
quickbuild_shop	ショップ
quickbuild_shower	シャワー
quickbuild_staffroom	スタッフルーム
quickbuild_workshop	ワークショップ

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	2019年6月27日
mm_updatenotes_Header	「牢房」更新
mm_updatenotes_01	4種の新しいフロアタイルと4種の新しい壁が新たに追加されました。
mm_updatenotes_02	パフォーマンスを改善し、それに伴い読み込み時間を短縮しています。
mm_updatenotes_03	看守がプログラムを教えることのできる大型の牢獄について、雇える看守の数を増やしました。
mm_updatenotes_04	既存のオブジェクトについては、ローテーションのフルセットを持つようになり、これまでなかった配置のために新しいスプライトが追加されました・
mm_updatenotes_05	新たな「守衛の応答」ボタンによって、異常時への対応のために追加の守衛を雇う代わりに、既存の守衛を特定のポイントに派遣することができるようになりました。
mm_updatenotes_06	新たな「トンネルサーチ」ボタンは、守衛に命令して、隠された脱出トンネルがないか、すべてのトイレを特別にチェックさせます。
mm_updatenotes_07	クイックビルドメニューに追加された「クイックルーム追加」で、部屋の建築が迅速かつ容易になります。
mm_updatenotes_08	囚人やスタッフの追尾は、対象をダブルクリックするだけで簡単にできるようになりました。
mm_updatenotes_09	オブジェクトを移動、再配置できるアビリティが追加されました！ オブジェクトを選択してダブルクリックしてください。
mm_updatenotes_10	これらの新規改善で、ゲームをよりお楽しみいただけることを願っています！


############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	泥
material_mud	泥
material_yutaniwall	壁（ユタニ）










material_solacofloor	ソラコ
material_gratefloor	格子

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	木（雪の針葉樹）


object_palmtree	木（ヤシ）
object_plant	植物

object_bush	しげみ

object_streetlamp	街灯

object_floodlight	照明（投光器）








object_bleachers	ベンチ席
object_smallbench	ベンチ（小）
object_smalltable	テーブル（小）
object_showerpillar	シャワー柱


object_doorMat	ドアマット

object_GuardPavilion	ガードパビリオン
object_GuardPavilionCorner	ガードパビリオン（コーナー）

object_OfficeChair	椅子（オフィス）




















object_visitorDoor	ビジタードア
object_ironingBoardShort	アイロン台（小）
object_fencegatestaff	フェンスゲート（スタッフ）
object_fencegatestandard	フェンスゲート（スタンダード）
object_fencegatevisitor	フェンスゲート（ビジター）












object_walllight	壁面ライト
object_securedoor	ドア（セキュリティ付き）
object_secretdoor	ドア（シークレット）



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	泥だし、無料です！
buildtoolbar_popup_mat_yutaniwall	基部の上にハイテクな外観の壁を構築して、新しいエリアまたは部屋を作ることができる。カーゴまたはスラコの床に最適。

buildtoolbar_popup_mat_newbblockwall	基部の上に軽量コンクリートブロックで作られた壁を作り、新しいエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_newbarredwall	基部の上に格子のついた壁を構築して、新しいエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_newtiledwall	基部の上にタイル張りの壁を構築して、新しいエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_newhedgewall	高さはあるが強度が難点。セキュリティオプションというよりも見た目の良さを重視している。









buildtoolbar_popup_mat_solacofloor	刑務所の床にハイテクな外観を与えてくれる。ユタニの壁と相性バッチリ。
buildtoolbar_popup_mat_gratefloor	刑務所の床にハイテクな外観を与えてくれる。
buildtoolbar_popup_mat_newcargofloor	刑務所の床に特注仕上げの外観を与えてくれる。
buildtoolbar_popup_mat_newironfloor	刑務所の床に特注仕上げの外観を与えてくれる。
buildtoolbar_popup_mat_newcheckeredfloor	どちらかと言えばキッチンや食堂にお似合いかもしれない。
buildtoolbar_popup_mat_snow	水のようでもあるが、より冷たく、美しい。





buildtoolbar_popup_obj_snowyconifertree	雪の多い土地に似つかわしい。


buildtoolbar_popup_obj_palmtree	通常は乾燥した土地に芽を出すが、望むところならどこでも育てることができる。


buildtoolbar_popup_obj_bush	屋外エリアのちょっとした飾りになってくれるだろう。

buildtoolbar_popup_obj_streetlamp	道路と経路を明るくしてくれる。

buildtoolbar_popup_obj_floodlight	庭などの広いエリアをカバーできる背の高い屋外照明。








buildtoolbar_popup_obj_bleachers	受刑者のグループが座って次の動きを熟考するための、よくある形の刑務所のベンチ席。
buildtoolbar_popup_obj_smallbench	腰を下ろす場所。
buildtoolbar_popup_obj_smalltable	食べるための場所。
buildtoolbar_popup_obj_showerpillar	シャワールームの中央に配置し、シャワーヘッドを両側に取り付けられる。


buildtoolbar_popup_obj_doorMat	出入り口の前に置けばマシに見えるかもしれない、安いゴム製のドアマット。


buildtoolbar_popup_obj_guardPavilion	運動場またはオープンエリアに配置し、看守または武装警備員が囚人を監視する場所。\n 「設置」メニューから看守を割り当てる。\n-そのエリアの抑圧レベルを上昇させる。\n-看守は天候から保護される。
buildtoolbar_popup_obj_guardPavilionCorner	運動場またはオープンエリアの隅に配置し、看守と武装警備員が囚人を監視する場所。\n「設置」メニューから看守を割り当てる。\n-そのエリアの抑圧レベルを上昇させる。\n-看守は天候から保護される。

buildtoolbar_popup_obj_officeChair	スタッフがオフィスデスクの中央に座るための椅子。




















