
campaigncutscene_tooltip 				（クリックで次のチャプターをスタート）
campaignchapter_locked                  （ロック中）


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    パレルモ

campaignchapter_food_description        刑務所の厨房と食堂が火災によって全焼した。受刑者たちの食事を用意する方法を早く見つけなければ、大規模の暴動が起きるだろう。\nまずは食事を手配し、次に厨房と食堂を建て直そう。

adviser_food_fire_1                     別の施設で問題が発生している。
adviser_food_fire_2                     刑務所の厨房に何者かが放火したようだ。まずは火を消し止めてこれ以上負傷者が出ないようにし、施設へのダメージも食い止めよう。
adviser_food_fire_3                     ツールバー内の「救急」ボタンを使って消防隊を出動させよう。
adviser_food_fire_4                     火災が刑務所全体に広がってしまう前に消し止めよう！

objective_food_callfirebrigade          消防署に連絡
objective_food_extinguishflames         火を消し止める

objective_food_callfirebrigade_description 	消防隊を出動させるには、ツールバー内の「緊急」ボタンをクリックし、さらに「消防隊」をクリックしよう。
objective_food_extinguishflames_description  消防隊が選択されている状態でHキーを長押しすると、消火ホースの向きを手動で調整することができる。ホースが炎の中心に向くようにしよう。\n\n消防隊をできるだけ火の近くに置いて、より効果的に使おう。

adviser_food_savedon1                   驚いたことに、瓦礫の中に生存者がいるようだ。
adviser_food_savedon2					しかもあれは... パレルモのドンだ。これだけ沢山の受刑者がいる中で... 生き残ったのが奴だったとは！
adviser_food_donintro2					だが、経費削減の一環として、常勤の医者たちはすべてクビにされてしまっている。
adviser_food_donintro3				 	幸いにも医療室はまだ使用できる状態だ。医師を数人雇ってパレルモのドンの治療に当たらせよう。瓦礫の除去はその間に行えばいい。

adviser_food_afterfire3                 瓦礫を除去する必要がある。
adviser_food_afterfire4                 「撤去」ツールを使って崩壊した食堂と厨房の解体を行い、すべての瓦礫を除去しよう。
adviser_food_afterfire6                 道路の脇にゴミゾーンを設置しよう。作業員に瓦礫をそこに持っていかせれば、ゴミ収集車が片付けてくれるはずだ。
adviser_food_dismissfiremen1			最後に、仕事の終わった消防隊を帰途につかせよう。
adviser_food_gamespeed                  建物を解体するのには時間がかかるだろう。時間を短縮したい場合は、時計の下のボタンを押そう。

adviser_food_todolist1					これらのタスクに関する詳細を「タスクリスト」に追加しておいた。
adviser_food_todolist2					何をすべきか分からなくなった時には、タスクをハイライトすれば追加情報を確認できる。

objective_food_buildmedicalward_doctors 医者を数人雇って医療室で勤務させよう。

objective_food_DismissAllFiremen		消防隊を帰す
objective_food_cleararea                火事の残骸を撤去
objective_food_buildgarbagearea         ゴミゾーンを設置
objective_food_clearcanteen             食堂の残骸を撤去
objective_food_clearkitchen             厨房の残骸を撤去
objective_food_hiremoreworkmen			（任意）作業員を追加して解体作業をスピードアップ

objective_food_dismissallfiremen_description 	出動させた緊急隊を帰すには、画面右にあるアイコンを探し、赤いマルXボタンをクリックしよう。
objective_food_cleararea_description 	建物を解体するには「撤去」ツールを使おう。撤去ツールはメインツールバー内の「基礎」に含まれている。

adviser_food_familyvisit1				上出来だ。
adviser_food_familyvisit2 				怪我人の状態をチェックしよう。

adviser_food_troublesoon1				食べ物がなければ、受刑者たちは数日中にも暴動を起こすだろう。
adviser_food_troublesoon2 				暴動を防ぐためにも、刑務所の安全を確保しよう。
adviser_food_troublesoon3 				これは「配置」画面だ。ここでは、看守を戦略的に配置することができる。
adviser_food_troublesoon4 				すべての独房と部屋にまんべんなく看守を配置しよう。刑務所中の詰所に10人の看守を配置すれば、とりあえずは十分な威力を見せつけることができるはずだ。
adviser_food_troublesoon5				さらに中庭に看守を巡回させたい。ここには新しい施設が建設される予定だ。
adviser_food_troublesoon6				最後にひとつ。食堂がダメージを受けたことで、箱詰めにされた食料のいくつかが腐ってしまった。すぐに捨てて害虫の繁殖を防ごう。

objective_food_deployguards				刑務所内に10人の看守を配置
objective_food_deploypatrol				中庭のパトロール用に看守を2人配置

objective_food_deployguards_description		看守を配置するには、「配置」画面を開き、詰所を置きたい場所をクリックしよう。詰所には自動的に看守が1人配置される。
objective_food_deploypatrol_description		「配置」画面を開いて「パトロール」を選択し、クリック＆ドラッグで巡回ルートを描こう。\n\nルート内のマスをクリックすれば、パトロール用の看守を配置することができる。

objective_food_dumpfood 				腐った食料を捨てる
objective_food_dumpfood_description		腐った食料は、刑務所の北東部分にある貯蔵庫に置かれている。\n\n物を捨てたい時には、対象物をクリックし、ポップアップメニューから「捨てる」をクリックしよう。

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				うう... う...

adviser_food_doninfirmary0              何か言おうとしてるぞ。
adviser_food_doninfirmary1				どいつだ、こんなことをやらかしたクソ野郎は？
adviser_food_doninfirmary2 				誰のせいでもないよ。事故だったんだ。
adviser_food_doninfirmary3 				てめえら、耳をかっぽじってよく聞くんだ。
adviser_food_doninfirmary4 				火をつけたアホ野郎の首をぜひともヘシ折ってやりたい。
adviser_food_doninfirmary5 				だが俺はもうおしまいだ。この汚ねぇベッドで死ぬのさ。
adviser_food_doninfirmary6 				だが一家のビジネスは終わりじゃない。パレルモの名に恥じないよう、仕事を片付けるんだ。分かったか、アホども。
adviser_food_doninfirmary7				分かってるよ、親父。
adviser_food_donchat13					まだ終わっちゃいねぇぞ、ニコ。
adviser_food_donchat14					お前、気をつけろよ。

adviser_food_founddrugs1				信じられないことを耳にした。
adviser_food_founddrugs2				腐った食料を捨てていた作業員たちが、箱の底に薬物と酒が隠されているのを発見したらしい。
adviser_food_founddrugs3				パレルモ一家が刑務所に色々と持ち込んでいるという話は初耳ではない。だがその方法については明らかではなかった。
adviser_food_founddrugs4 				だが今はそれどころではない。

adviser_food_rebuild1                   やるべきことは沢山残っている。優先して行わなければならないのは、厨房と食堂の再建だ。
adviser_food_rebuild2                   まずは食堂を建てよう。必要な設備を配置し、料理人を雇わなければならない。
adviser_food_rebuild3					それが済んだら今度は食堂だ。
adviser_food_rebuild4					すべてが完了したら、料理人たちは自動的に食事の準備に取り掛かる。
adviser_food_rebuild5                   何をしたらいいか分からなくなった時には、「タスクリスト」内のタスクをハイライトしてヒントを表示しよう。

adviser_food_fightoutro1  				素晴らしい！パレルモ一家の勢力は縮小しているぞ！

adviser_food_sprinklerintro1 			我々は薬物に関してかなり深刻な問題に直面しているようだ。だがそれに対処するのは後だ。
adviser_food_sprinklerintro2 			厨房と食堂がまた機能し始めた。料理人はまもなく料理を再開するはずだ。これで受刑者たちも少しは落ち着くだろう。
adviser_food_sprinklers1                心配なのは、今回の火災が明らかに放火によって生じたものであるということだ。こんなことは二度と起こってはならない。
adviser_food_sprinklers2 				新しい厨房と食堂の上にスプリンクラーを設置し、水道本管につなげよう。

adviser_food_explainneeds1 				どの受刑者にもニーズというものがある。そしてそれは彼らの挙動に直接影響を与える。例えば今、受刑者たちはお腹を空かせている。彼らが怒鳴り声を上げているのはそのためだ。
adviser_food_explainneeds2 				食事は、受刑者のニーズの中でも特に優先順位が高い。それを無視すれば最悪の事態が待っている。食事を数回抜いただけで、受刑者たちは暴動を起こすだろう。
adviser_food_explainneeds3 				受刑者のニーズがどの程度満たされているかは「ニーズ報告」でチェックすることができる。これは、画面右下の「報告書」アイコンからアクセスすることができる。
adviser_food_explainneeds4				このレポートには、すべての受刑者の全体的なニーズの状態が示されている。特定のニーズが赤になっている場合は、多くの受刑者に対してそのニーズが満たされておらず、受刑者が不満を抱えていることを示している。
adviser_food_explainneeds5 				もちろん、食料に関する状況は現在「赤」だ。だが、それだけでなく、多くの受刑者がかなり退屈しており（「娯楽」のニーズ）、刑務所の居住状況があまりよくない（「環境と衣服」ニーズ）ことも分かる。
adviser_food_explainneeds6				どのニーズを優先的に満たしてやるかは、刑務所の設計士である君が決めなければならない。手始めに、独房にテレビを置いて受刑者を楽しませるとともに、清掃人を雇って刑務所を掃除させてみてもいいだろう。
adviser_food_explainneeds7				もしくは、そのようなニーズはまったく無視して、力づくで受刑者たちを支配するのもありだ。
adviser_food_explainneeds8 				さあ、どうしよう？

objective_food_needs 					（任意）受刑者のニーズを満たす
objective_food_handlefoodneed 			（任意）受刑者の「食料」ニーズを満たす
objective_food_handleboredomneed		（任意）受刑者の「娯楽」ニーズを満たす
objective_food_handleenvironmentneed	（任意）受刑者の「環境」ニーズを満たす

objective_food_needs_description 					受刑者たちの全体的なニーズをチェックするには、画面右下にある「報告書」をクリックし、「ニーズ」を選択しよう。\nまた、個人をハイライトすることで、その受刑者がどのニーズに影響されているかを確認することもできる。\n\nニーズは一度満たしたら終わりではない。常に満たしてやる必要がある。
objective_food_handlefoodneed_description 			料理人が食事を用意してくれる。すべての受刑者は次の食事タイムの終わりまでに食事にありつくことができる。
objective_food_handleboredomneed_description 		受刑者が退屈している場合は、独房にテレビを置くことで簡単に解決することができる。また、共有ルームを作り、そこにテレビやビリヤード台を置くこともできる。\n\nテレビはその他の共有スペース（例：食堂）に置くこともできる。
objective_food_handleenvironmentneed_description 	清掃人を雇うと、時間は掛かるが刑務所全体を掃除してくれる。

adviser_food_needssuccess1 				素晴らしい。受刑者のニーズを満たすため、積極的に行動してくれた！
adviser_food_needssuccess2 				もう気づいているかもしれないが、清潔な衣服がないことに受刑者たちは大きな不満を抱いている。
adviser_food_needssuccess3 				このニーズに対処するためには、受刑者たちに清潔な衣服を提供できるよう、洗濯室を運営する必要がある。
adviser_food_needssuccess4 				洗濯室を作ってもっと清掃人を雇い、受刑者に清潔な衣服を与えよう。

objective_food_laundry 					（任意）清潔な衣服
objective_food_buildlaundry 			（任意）洗濯室を建てる
