# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그
codex_legal	법률
codex_privacy	개인 정보 정책
codex_terms-of-use	이용 약관
codex_eula	최종 사용자 사용권 계약

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	벽 & 문
interfacemode_flooring	바닥
tunnelsearch_underway	진행 중인 터널 찾기
tunnelsearch_found	터널
moveobjects_prompt	더블 클릭: 물건 옮기기
moveobjects_abort	오른쪽 마우스 클릭: 옮기기 취소

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	다른 타입의 벽과 문
buildtoolbar_popup_flooring	다른 바닥 스타일
buildtoolbar_popup_spawn	산출물 메뉴 열기
buildtoolbar_tunnelsearch	터널 찾기

buildtoolbar_tooltip_tunnelsearch	탈옥 시도를 계획 중이라는 의심이 드시나요? 교도관에게 모든 화장실을 수색하도록 명령을 내리세요.

buildtoolbar_tooltip_GuardResponse	지도 위에서 왼쪽 마우스를 클릭하면 클릭한 위치로 가까운 교도관을 부를 수 있습니다. 많이 클릭할 수록 더 많은 교도관이 모입니다. 오른쪽 마우스를 클릭하면 멈춥니다.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	타일 벽
material_NewBarredWall	쇠창살 벽
material_NewBBlockWall	흰 벽
material_NewHedgeWall	철조망
material_NewIronFloor	강철 바닥
material_NewCargoFloor	화물 바닥
material_NewCheckeredFloor	체크무늬 바닥
material_Snow	눈


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	왼쪽 마우스를 더블 클릭해 *E를 따라가세요.

quickbuild_intermediatecell	개선된 감방
quickbuild_holdingcell	유치장
quickbuild_medical	의무실
quickbuild_shop	판매점
quickbuild_shower	샤워실
quickbuild_staffroom	직원 휴게실
quickbuild_workshop	작업장

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	2019년 6월 27일
mm_updatenotes_Header	감옥 업데이트
mm_updatenotes_01	4가지 새로운 바닥 타일과 4가지 새로운 벽 타입이 추가되었습니다.
mm_updatenotes_02	성능이 향상되고 로딩 시간이 줄었습니다.
mm_updatenotes_03	고용할 수 있는 현장 감독 수가 늘었고 더 큰 감옥에서는 현장 감독이 프로그램을 가르치기도 합니다.
mm_updatenotes_04	기존 물건은 현재 로테이션 세트를 따르며 갈 곳을 잃은 새로운 유령이 추가됐습니다.
mm_updatenotes_05	새로운 '교도관 대응' 버튼을 누르면 사건을 해결할 교도관을 추가로 고용하지 않고도 기존의 가까운 교도관을 특정 위치로 이동하게 할 수 있습니다.
mm_updatenotes_06	새로운 '터널 찾기' 버튼을 누르면 교도관이 숨겨진 탈옥 터널을 찾기 위해 모든 화장실을 수색하게 할 수 있습니다.
mm_updatenotes_07	퀵 빌드 메뉴에 추가 퀵 룸이 추가돼 더 빠르고 쉽게 방을 건설할 수 있습니다.
mm_updatenotes_08	더블 클릭하여 각각의 죄수와 직원들을 더 쉽게 따라갈 수 있습니다.
mm_updatenotes_09	물건을 옮기고 재배치하는 법은 다음과 같습니다. 물건을 선택한 후 더블 클릭하세요!
mm_updatenotes_10	이와 같이 새롭게 개선된 게임을 맘껏 즐겨주세요!




############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	진흙
material_mud	진흙
material_yutaniwall	벽 (Yutani)










material_solacofloor	솔라코
material_gratefloor	쇠격자

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	나무 (눈 덮인 침엽수)


object_palmtree	나무 (야자수)
object_plant	식물

object_bush	관목

object_streetlamp	가로등

object_floodlight	조명 (투광 조명등)








object_bleachers	야외 관람석
object_smallbench	벤치 (소형)
object_smalltable	테이블 (소형)
object_showerpillar	샤워기둥


object_doorMat	도어 매트

object_GuardPavilion	경비탑
object_GuardPavilionCorner	경비탑 (모서리)

object_OfficeChair	의자 (사무실)




















object_visitorDoor	면회객 출입문
object_ironingBoardShort	다리미판 (소형)
object_fencegatestaff	철조망 출입구 (직원)
object_fencegatestandard	철조망 출입구 (일반)
object_fencegatevisitor	철조망 출입구 (면회객)












object_walllight	벽등
object_securedoor	문 (안전)
object_secretdoor	문 (비밀)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	진흙이고 무료예요!
buildtoolbar_popup_mat_yutaniwall	기초 위에 최첨단 비주얼의 벽을 세워 새로운 구역 및 방을 만드세요. 화물 및 Solaco 바닥에 잘 어울립니다.

buildtoolbar_popup_mat_newbblockwall	기초 위에 브리즈 블록으로 만든 벽을 세워 새로운 구역 및 방을 만드세요.
buildtoolbar_popup_mat_newbarredwall	기초 위에 철창 벽을 세워 새로운 구역 및 방을 만드세요.
buildtoolbar_popup_mat_newtiledwall	기초 위에 타일 벽을 세워 새로운 구역 및 방을 만드세요.
buildtoolbar_popup_mat_newhedgewall	높지만 약한 생울타리. 제대로 된 보안 옵션이라기보다 비주얼 옵션.









buildtoolbar_popup_mat_solacofloor	교도소 바닥에 최첨단 분위기를 더하세요. Yutani 벽과 잘 어울립니다.
buildtoolbar_popup_mat_gratefloor	교도소 바닥에 최첨단 분위기를 더하세요.
buildtoolbar_popup_mat_newcargofloor	교도소 바닥에 맞춤 생산 분위기를 더하세요.
buildtoolbar_popup_mat_newironfloor	교도소 바닥에 맞춤 생산 분위기를 더하세요.
buildtoolbar_popup_mat_newcheckeredfloor	주방이나 식당에 잘 어울릴 겁니다.
buildtoolbar_popup_mat_snow	물 같지만 더 차갑고 예쁩니다.





