# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Hele endringsloggen
codex_legal									Lovlig
codex_privacy								personvernpolicy
codex_terms-of-use							Vilkår for bruk
codex_eula									sluttbruker lisensavtale

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Vegger og dører
interfacemode_flooring							Gulvbelegg
tunnelsearch_underway							TUNNELSØK PÅGÅR
tunnelsearch_found							Tuneller
moveobjects_prompt							DOBBELTKLIKK: Flytt gjenstanden
moveobjects_abort							HØYREKLIKK: Avbryt trekket 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Forskjellige vegg- og dørtyper
buildtoolbar_popup_flooring						Forskjellige gulvstiler
buildtoolbar_popup_spawn						Åpne spawn-menyen
buildtoolbar_tunnelsearch						Tunellsøk

buildtoolbar_tooltip_tunnelsearch					Mistenker du at noen planlegger å flykte? Fortell vaktene at de skal se bak alle toalettene.		

buildtoolbar_GuardResponse						Vaktsvar	
buildtoolbar_tooltip_GuardResponse					Når dette er aktivert kan du klikke på kartet for å tilkalle vakter til et bestemt sted. Flere klikk tilkaller flere vakter. Høyreklikk for å stoppe.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Flisevegg
material_NewBarredWall							Gittervegg
material_NewBBlockWall							Hvit vegg
material_NewHedgeWall							Hekk
material_NewIronFloor							Jerngulv
material_NewCargoFloor							Cargogulv
material_NewCheckeredFloor						Sjakkgulv
material_Snow								Snø


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Dobbeltklikk på venstreknappen for å følge dette *E

quickbuild_intermediatecell							Forbedret celle
quickbuild_holdingcell								Arrestcelle
quickbuild_medical								Sykestue
quickbuild_shop									Butikk
quickbuild_shower								Dusj
quickbuild_staffroom								Medarbeiderrom
quickbuild_workshop								Arbeidsgruppe

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27.juni 2019
mm_updatenotes_Header								Clink-oppdateringen
mm_updatenotes_01								4 nye gulvfliser og 4 nye veggtyper er lagt til.
mm_updatenotes_02								Prestasjonsforbedringer som reduserer lastetidene.
mm_updatenotes_03								Økt antallet formenn som kan ansettes i større fengsler hvor formenn også lærer programmer.
mm_updatenotes_04								Nåværende gjenstander kan roteres full ut, samtidig som nye grafikker er lagt til for manglende retningsangivelser.
mm_updatenotes_05								Ny «vaktrespons»-knapp som kommanderer vakter i nærheten til et bestemt sted, noe som betyr at spillere ikke lenger behøver ekstravakter for å ta seg av hendelser. 
mm_updatenotes_06								Ny «Tunnelsøk»-knapp som kommanderer vakter til å søke i alle tunellene etter skjulte flukttuneller.  
mm_updatenotes_07								Flere hurtigrom er lagt til hurtigbyggermenyen, noe som gjør det raskere og enklere å bygge rom.
mm_updatenotes_08								Det er mye lettere å følge fangene og medarbeiderne ved at du nå kan dobbeltklikke på dem.
mm_updatenotes_09								Nå kan du flytte og omplassere gjenstander! Velg og dobbeltklikk på en gjenstand.
mm_updatenotes_10								Vi håper disse forbedringene gjør spillopplevelsen din enda bedre!

############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Gjørme
material_yutaniwall								Vegg (Yutani)










material_solacofloor							Solaco 
material_gratefloor								Gitter

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Tre (Snødekt tretopp)


object_palmtree									Tre (Palme)
object_plant									Plante

object_bush										Busk

object_streetlamp								Gatelykt

object_floodlight								Lys (Flomlys)





		
		

object_bleachers								Plattinger
object_smallbench								Benk (liten)
object_smalltable								Bord (lite)
object_showerpillar								Dusjstativ


object_doorMat									Dørmatte

object_GuardPavilion							Vaktpaviljong
object_GuardPavilionCorner						Vaktpaviljong (hjørne)

object_OfficeChair								Stol (Kontor)




















object_visitorDoor								Gjestedør
object_ironingBoardShort						Strykebrett (lite)
object_fencegatestaff							Dørport (ansatte)
object_fencegatestandard						Dørport (standard)
object_fencegatevisitor							Dørport (besøkende)












object_walllight								Vegglys
object_securedoor								Dør (sikker)
object_secretdoor								Dør (hemmelig)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Det er gjørme, og den er gratis!
buildtoolbar_popup_mat_yutaniwall				Bygg høyteknologiske vegger på toppen av grunnmurene for å lage nye områder eller rom. Fungerer flott med lasten eller Solaco-gulvet.

buildtoolbar_popup_mat_newbblockwall			Bygg vegger av breeze-blokkene på toppen av grunnmurene for å lage nye områder eller rom.
buildtoolbar_popup_mat_newbarredwall			Bygg avsperrede veggseksjoner på topp av grunnmurene for å lage nye områder eller rom.
buildtoolbar_popup_mat_newtiledwall				Bygg de flislagte veggene på topp av grunnmurene for å lage nye områder eller rom.
buildtoolbar_popup_mat_newhedgewall				Store, men svake hekker. Mer en fin ting å ha enn et seriøst sikkerhetsalternativ.









buildtoolbar_popup_mat_solacofloor				Gi gulvene i fengselet vårt et høyteknologisk utseende. Fungerer flott med Yutani-veggene.
buildtoolbar_popup_mat_gratefloor				Gi gulvene i fengselet vårt et høyteknologisk utseende.
buildtoolbar_popup_mat_newcargofloor			Gi fangegulvene våre et fantastisk utseende.
buildtoolbar_popup_mat_newironfloor				Gi fangegulvene våre et fantastisk utseende.
buildtoolbar_popup_mat_newcheckeredfloor		Disse ser sannsynligvis bra ut i dine kjøkken eller kantiner.
buildtoolbar_popup_mat_snow						Det er som vann, bare kaldere og penere.





buildtoolbar_popup_obj_snowyconifertree			Ser mye bedre ut på snødekt land.


buildtoolbar_popup_obj_palmtree					Vokser vanligvis på tørt land, men nå velger du selv hvor du skal dyrke dem.


buildtoolbar_popup_obj_bush						Gi litt dekorasjon til utendørsområdene dine.

buildtoolbar_popup_obj_streetlamp				For å lyse opp veier og stier.

buildtoolbar_popup_obj_floodlight				Et stort utendørslys som dekker store områder, som gårdsplasser.





	


buildtoolbar_popup_obj_bleachers				Klassiske fangegårdplattinger hvor fangegrupper kan sitte å pønske ut det neste trekket sitt.
buildtoolbar_popup_obj_smallbench				For å sitte på.
buildtoolbar_popup_obj_smalltable				For å spise ved.
buildtoolbar_popup_obj_showerpillar				Skal settes midt i et dusjkabinett, og deretter festes et dusjhode til hver side.


buildtoolbar_popup_obj_doorMat					En billig gummidørmatte som kan se bra ut foran døråpningene.


