# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
codex_legal	Prawny
codex_privacy	Polityka Prywatności
codex_terms-of-use	Warunki Korzystania
codex_eula	Umowa Licencyjna Użytkownika Końcowego

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Ściany i drzwi
interfacemode_flooring	Podłoga
tunnelsearch_underway	TRWA WYSZUKIWANIE TUNELI
tunnelsearch_found	Tunele
moveobjects_prompt	DWUKROTNE KLIKNIĘCIE: Przemieść przedmiot
moveobjects_abort	PRAWY PRZYCISK MYSZY: Anuluj przemieszczanie

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Różne rodzaje ścian i drzwi
buildtoolbar_popup_flooring	Różne rodzaje podłóg
buildtoolbar_popup_spawn	Otwórz menu Miejsce startowe.
buildtoolbar_tunnelsearch	Wyszukiwanie tuneli

buildtoolbar_tooltip_tunnelsearch	Podejrzewasz próbę ucieczki na piechotę? Rozkaż strażnikom poszukiwania za toaletami.

buildtoolbar_GuardResponse	Reakcja strażnika
buildtoolbar_tooltip_GuardResponse	Po włączeniu możesz kliknąć mapę lewym przyciskiem myszy, aby wezwać strażników do tego miejsca. Kolejne kliknięcia powodują wezwanie dodatkowych strażników. Prawy przycisk myszy zatrzymuje działanie.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Ściana z kafelkami
material_NewBarredWall	Ściana z kratami
material_NewBBlockWall	Biała ściana
material_NewHedgeWall	Żywopłot
material_NewIronFloor	Żelazna podłoga
material_NewCargoFloor	Podłoga przemysłowa
material_NewCheckeredFloor	Podłoga w szachownicę
material_Snow	Śnieg


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Kliknij dwukrotnie lewym przyciskiem, aby śledzić *E

quickbuild_intermediatecell	Ulepszona cela
quickbuild_holdingcell	Pomieszczenie tymczasowe
quickbuild_medical	Oddział szpitalny
quickbuild_shop	Sklep
quickbuild_shower	Prysznic
quickbuild_staffroom	Pomieszczenie dla personelu
quickbuild_workshop	Warsztat

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 czerwca 2019
mm_updatenotes_Header	Aktualizacja „Kić”
mm_updatenotes_01	Dodano x4 nowe kafle podłogowe i x4 nowe rodzaje ścian.
mm_updatenotes_02	Zwiększona wydajność i skrócony czas wczytywania.
mm_updatenotes_03	Zwiększona liczba brygadzistów do zatrudnienia w większych więzieniach, gdzie prowadzą oni również zajęcia programowe.
mm_updatenotes_04	Istniejące przedmioty można dowolnie obracać i oglądać z każdej strony dzięki nowym grafikom.
mm_updatenotes_05	Nowy przycisk Reakcja strażnika powoduje wezwanie strażników do wybranej lokalizacji - nie trzeba już najmować dodatkowych strażników, aby uspokoić incydenty.
mm_updatenotes_06	Nowy przycisk Wyszukiwanie tuneli powoduje wezwanie strażników do przeszukania toalet pod kątem ukrytych tuneli .
mm_updatenotes_07	W menu Szybkie budowanie dodano nową pozycję Szybkie pomieszczenia upraszającą budowanie pomieszczeń.
mm_updatenotes_08	Podążanie za więźniami i pracownikami jest prostsze - wystarczy kliknąć dwukrotnie daną osobę.
mm_updatenotes_09	Można przenosić przedmioty! Wystarczy wybrać przedmiot i kliknąć go dwukrotnie.
mm_updatenotes_10	Mamy nadzieję, że spodobają Wam się nowe usprawnienia!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Błoto
material_mud	Błoto
material_yutaniwall	Ściana (Yutani)










material_solacofloor	Solaco
material_gratefloor	Kratownica

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Drzewo (ośnieżone drzewo iglaste)


object_palmtree	Drzewo (palma)
object_plant	Roślina

object_bush	Krzew

object_streetlamp	Lampa uliczna

object_floodlight	Oświetlenie (zalewowe)








object_bleachers	Trybuny
object_smallbench	Ławka (mała)
object_smalltable	Stół (mały)
object_showerpillar	Filar prysznicowy


object_doorMat	Wycieraczka

object_GuardPavilion	Pawilon strażniczy
object_GuardPavilionCorner	Pawilon strażniczy (narożnik)

object_OfficeChair	Krzesło (biuro)




















object_visitorDoor	Drzwi dla odwiedzających
object_ironingBoardShort	Deska do prasowania (mała)
object_fencegatestaff	Brama ogrodzeniowa (personel)
object_fencegatestandard	Brama ogrodzeniowa (standardowa)
object_fencegatevisitor	Brama ogrodzeniowa (odwiedzający)












object_walllight	Lampa ścienna
object_securedoor	Drzwi (zabezpieczone)
object_secretdoor	Drzwi (tajne)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	To błoto i jest za darmo!
buildtoolbar_popup_mat_yutaniwall	Buduj nowoczesne ściany na fundamentach, aby tworzyć nowe obszary lub pomieszczenia. Świetnie komponują się z podłogą Przemysłową lub Solaco.

buildtoolbar_popup_mat_newbblockwall	Buduj ściany z pustaków na fundamentach, aby tworzyć nowe obszary lub pomieszczenia.
buildtoolbar_popup_mat_newbarredwall	Buduj zakratowane sekcje ścienne na fundamentach, aby tworzyć nowe obszary lub pomieszczenia.
buildtoolbar_popup_mat_newtiledwall	Buduj ściany wyłożone płytkami na fundamentach, aby tworzyć nowe obszary lub pomieszczenia.
buildtoolbar_popup_mat_newhedgewall	Wysokie, ale słabe żywopłoty. Stanowią raczej ozdobę niż zabezpieczają.









buildtoolbar_popup_mat_solacofloor	Zapewnij więzieniu nowoczesny wygląd. Świetnie komponuje się ze ścianami Yutani.
buildtoolbar_popup_mat_gratefloor	Zapewnij więzieniu nowoczesny wygląd.
buildtoolbar_popup_mat_newcargofloor	Zapewnij więzieniu wspaniały wygląd.
buildtoolbar_popup_mat_newironfloor	Zapewnij więzieniu wspaniały wygląd.
buildtoolbar_popup_mat_newcheckeredfloor	Prawdopodobnie dobrze będzie pasować do Kuchni lub Stołówki.
buildtoolbar_popup_mat_snow	Jak woda, tylko zimniejsza i ładniejsza.





buildtoolbar_popup_obj_snowyconifertree	Doskonale sprawdzi się w śnieżnych terenach.


buildtoolbar_popup_obj_palmtree	Normalnie rosną na suchym lądzie, ale teraz możesz je hodować wszędzie.


buildtoolbar_popup_obj_bush	Dekoracja obszarów zewnętrznych.

buildtoolbar_popup_obj_streetlamp	Oświetlenie dróg i ścieżek.

buildtoolbar_popup_obj_floodlight	Wysoka lampa zewnętrzna, które może oświetlać duże powierzchnie, takie jak dziedzińce.








buildtoolbar_popup_obj_bleachers	Klasyczne trybuny dla grup więźniów, gdzie mogą przesiadywać i zastanawiać się nad swoim losem.
buildtoolbar_popup_obj_smallbench	Do siedzenia.
buildtoolbar_popup_obj_smalltable	Można przy nim jeść.
buildtoolbar_popup_obj_showerpillar	Po ustawieniu w środku kabiny prysznicowej można do niego przymocować natryski po każdej stronie.


buildtoolbar_popup_obj_doorMat	Tania gumowa wycieraczka, która dobrze wygląda przed drzwiami.


buildtoolbar_popup_obj_guardPavilion	Umieść na dziedzińcach i otwartych przestrzeniach, aby Strażnicy i Uzbrojeni strażnicy mogli pilnować więźniów.\n	Przydziel strażników za pomocą menu Rozmieszczenie.\n - Zwiększa poziom Tłumienia w tym obszarze.\n - Strażnik jest chroniony przed warunkami atmosferycznymi.
buildtoolbar_popup_obj_guardPavilionCorner	Umieść w narożnikach dziedzińców i otwartych przestrzeni, aby Strażnicy i Uzbrojeni strażnicy mogli pilnować więźniów.\n	Przydziel strażników za pomocą menu Rozmieszczenie.\n - Zwiększa poziom Tłumienia w tym obszarze.\n - Strażnik jest chroniony przed warunkami atmosferycznymi.

buildtoolbar_popup_obj_officeChair	Krzesło dla pracowników, aby mogli wygodnie siedzieć przy biurku.




















buildtoolbar_popup_obj_visitorDoor	Drzwi, przez które mogą przechodzić osoby odwiedzające zakład karny. Nie wymagają otwierania przez strażnika. Strażnicy i pracownicy mogą również korzystać z drzwi, ale więźniowie już nie.
buildtoolbar_popup_obj_ironingBoardShort	Krótka deska do prasowania.
buildtoolbar_popup_obj_fencegatestaff	Brama, która świetnie współgra z Siatką i działa tak samo jak drzwi.
buildtoolbar_popup_obj_fencegatestandard	Brama, która świetnie współgra z Siatką i działa tak samo jak drzwi.
buildtoolbar_popup_obj_fencegatevisitor	Brama, która świetnie współgra z Siatką i działa tak samo jak drzwi.












buildtoolbar_popup_obj_walllight	Oświetlenie podobne do tego stosowanego w bunkrze. Do umieszczenia na ścianach.
buildtoolbar_popup_obj_securedoor	Drzwi przeznaczone do Izolatek wyposażone w klapę do podawania jedzenia. Strażnicy mogą podawać pożywienie bez wchodzenia do celi.


interfacedeployment_guards	Przydziel Strażników
buildtoolbar_deployment_Guards	Przydziel Strażników do sektorów w więzieniu.

interfacedeployment_Dogs	Przydziel Przewodników psów
buildtoolbar_deployment_Dogs	Przydziel Przewodników psów do sektorów w więzieniu.

interfacedeployment_ArmedGuards	Przydziel Uzbrojonych strażników
buildtoolbar_deployment_ArmedGuards	Przydziel Uzbrojonych strażników do sektorów w więzieniu.

interfacedeployment_patrols	Przydziel Strażników
buildtoolbar_deployment_Patrols	Przydziel Strażników do patroli w więzieniu.

interfacedeployment_dogpatrols	Przydziel Przewodników psów
buildtoolbar_deployment_DogPatrols	Przydziel Przewodników psów do patroli w więzieniu.

interfacedeployment_armedpatrols	Przydziel Uzbrojonych strażników
buildtoolbar_deployment_ArmedPatrols	Przydziel Uzbrojonych strażników do patroli w więzieniu.

buildtoolbar_popup_help_Guards_1	Narzędzie Strażnicy pozwala rozmieszczać Strażników w strefach. Wyznaczony Strażnik będzie poruszał się losowo po przydzielonej strefie i wykonywał wszelkie swoje zadania w tym obszarze, np. otwieranie drzwi.\n\n
buildtoolbar_popup_help_Guards_2	~Lewy przycisk myszy zwiększa liczbę Przewodników psów w strefie. Prawy przycisk myszy usuwa Strażnika.\n\n
buildtoolbar_popup_help_Guards_3	^Wskazówki
buildtoolbar_popup_help_Guards_4	– Odblokowanie Mikrozarządzania daje dostęp do Terminarza rozmieszczenia strażników. To pozwala na stworzenie harmonogramu przypisania strażników do pewnych obszarów. Na przykład jeśli Strażnicy mają być obecni w Stołówce tylko w Czasie posiłku, można kliknąć każdy blok w Terminarzu, który pokrywa się z Czasem posiłku, a następnie przesunąć suwak czasu do takiego bloku i kliknąć Stołówkę, aby wysłać tam Strażników.
buildtoolbar_popup_help_Guards_5	- W Terminarzu znajduje się 9 bloków czasowych, którymi można zarządzać, plus tryb Zawsze, co pozwala na tworzenie złożonych harmonogramów rozmieszczenia Strażników zgodnie z potrzebami więzienia.
buildtoolbar_popup_help_Guards_6	- Jeśli ręcznie nie wybierzesz bloku czasowego podczas przypisywania Przewodników psów, w Terminarzu zostanie wykorzystany bieżący czas. Podczas zmiany Rozmieszczenia upewnij się, że wybrano prawidłowy czas!

buildtoolbar_popup_help_Dogs_1	Narzędzie Przewodnicy psów pozwala rozmieszczać Przewodników psów w strefach. Wyznaczony Strażnik będzie poruszał się losowo po przydzielonej strefie i wykonywał wszelkie swoje zadania w tym obszarze, np. otwieranie drzwi.\n\n
buildtoolbar_popup_help_Dogs_2	~Lewy przycisk myszy zwiększa liczbę Przewodników psów w strefie. Prawy przycisk myszy usuwa Przewodnika psa.\n\n
buildtoolbar_popup_help_Dogs_3	^Wskazówki
buildtoolbar_popup_help_Dogs_4	– Odblokowanie Mikrozarządzania daje dostęp do Terminarza rozmieszczenia strażników. To pozwala na stworzenie harmonogramu przypisania Przewodników psów do pewnych obszarów. Na przykład jeśli Przewodnicy psów mają być obecni w Stołówce tylko w Czasie posiłku, można kliknąć każdy blok w Terminarzu, który pokrywa się z Czasem posiłku, a następnie przesunąć suwak czasu do takiego bloku i kliknąć Stołówkę, aby wysłać tam Przewodników psów.
buildtoolbar_popup_help_Dogs_5	- W Terminarzu znajduje się 9 bloków czasowych, którymi można zarządzać, plus tryb Zawsze, co pozwala na tworzenie złożonych harmonogramów rozmieszczenia Strażników zgodnie z potrzebami więzienia.
buildtoolbar_popup_help_Dogs_6	- Jeśli ręcznie nie wybierzesz bloku czasowego podczas przypisywania Przewodników psów, w Terminarzu zostanie wykorzystany bieżący czas. Podczas zmiany Rozmieszczenia upewnij się, że wybrano prawidłowy czas!

buildtoolbar_popup_help_ArmedGuards_1	Narzędzie Uzbrojeni strażnicy pozwala rozmieszczać Uzbrojonych strażników w strefach. Wyznaczony Strażnik będzie poruszał się losowo po przydzielonej strefie i wykonywał wszelkie swoje zadania w tym obszarze, np. otwieranie drzwi.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Lewy przycisk myszy zwiększa liczbę Strażników rozmieszczonych w strefie. Prawy przycisk myszy usuwa Strażnika.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Wskazówki
buildtoolbar_popup_help_ArmedGuards_4	– Odblokowanie Mikrozarządzania daje dostęp do Terminarza rozmieszczenia strażników. To pozwala na stworzenie harmonogramu przypisania Uzbrojonych strażników do pewnych obszarów. Na przykład jeśli Uzbrojeni strażnicy mają być obecni w Stołówce tylko w Czasie posiłku, można kliknąć każdy blok w Terminarzu, który pokrywa się z Czasem posiłku, a następnie przesunąć suwak czasu do takiego bloku i kliknąć Stołówkę, aby wysłać tam Uzbrojonych strażników.
buildtoolbar_popup_help_ArmedGuards_5	- W Terminarzu znajduje się 9 bloków czasowych, którymi można zarządzać, plus tryb Zawsze, co pozwala na tworzenie złożonych harmonogramów rozmieszczenia Strażników zgodnie z potrzebami więzienia.
buildtoolbar_popup_help_ArmedGuards_6	- Jeśli nie wybierzesz bloku czasowego ręcznie przy przypisywaniu Uzbrojonych strażników do stref, Terminarz przyjmie aktualną godzinę; pamiętaj, aby wybrać odpowiednie godziny przy dokonywaniu zmian Rozmieszczenia strażników!

interfacedeployment_PrioritizeArea	Priorytet obszaru (*X)
buildtoolbar_deployment_PrioritizeGuard	Za pomocą tej opcji określ priorytet obsługi określonych sektorów wokół więzienia przez Strażników. Jeśli masz za mało pracowników, Strażnicy będą się starać najpierw obsługiwać obszary priorytetowe. Dostępne są dwa priorytety: Wysoki (>>) i Bardzo Wysoki (>>>).

interfacedeployment_BluePatrol	Niebieski patrol
buildtoolbar_deployment_BluePatrol	Kolorowe trasy patrolowania mogą się pokrywać i można do nich przypisywać różnych strażników. Kliknij i przeciągnij, aby utworzyć Niebieską trasę patrolowania. Kliknij prawym przyciskiem myszy i przeciągnij, aby usunąć Niebieską trasę patrolowania. Przycisk Przydziel strażnika pozwala dodać strażników do trasy patrolowania.

interfacedeployment_MagentaPatrol	Fioletowy patrol
buildtoolbar_deployment_MagentaPatrol	Kolorowe trasy patrolowania mogą się pokrywać i można do nich przypisywać różnych strażników. Kliknij i przeciągnij, aby utworzyć Fioletową trasę patrolowania. Kliknij prawym przyciskiem myszy i przeciągnij, aby usunąć Fioletową trasę patrolowania. Przycisk Przydziel strażnika pozwala dodać strażników do trasy patrolowania.

interfacedeployment_PrioritizePatrol	Priorytet patrolu
buildtoolbar_deployment_PrioritizePatrol	Za pomocą tej opcji określ priorytet obsługi określonych patroli wokół więzienia przez Strażników. Jeśli masz za mało pracowników, Strażnicy będą się starać najpierw obsługiwać priorytetowe trasy patrolowania. Dostępne są dwa priorytety: Wysoki (>>) i Bardzo Wysoki (>>>).

buildtoolbar_popup_filter_title	Filtr - lista
buiildtoolbar_popup_filter_toggle	Kliknij przycisk, aby przełączyć
buildtoolbar_popup_filter_default	Domyślnie
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	Posiadane
buildtoolbar_popup_filter_costhighlow	Koszt (wysoki-niski)
buildtoolbar_popup_filter_costlowhigh	Koszt (niski-wysoki)
buildtoolbar_popup_filter_indooroutdoor	Wewnątrz-na zewnątrz
buildtoolbar_popup_filter_outdoorindoor	Na zewnątrz-wewnątrz
buildtoolbar_popup_filter_quantity	Posiadana liczba
buildtoolbar_popup_filter_byroom	Wg pomieszczenia






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	KLIKNIJ DWUKROTNIE: Przenieś obiekt

double_click_add_door	Kliknij dwukrotnie lewym przyciskiem myszy, aby dodać drzwi.

codex_option_bureaucracyresearched	Odkryto biurokrację
codex_tooltip_bureaucracyresearched	Rozpocznij nową grę z poznanym całym drzewem Biurokracja.

codex_option_jungle	Działka w dżungli
codex_tooltip_jungle	Wygeneruj początkową działkę, która przypomina gęstą dżunglę.

codex_option_snowy	Ośnieżona działka
codex_tooltip_snowy	Wygeneruj początkową działkę pokrytą śniegiem.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Mycie

action_Stretching	Ćwiczenia
action_PlayChess	Gra w szachy


plant_tree_location	Posadź drzewo: *X

report_intake_cat_SuperMax	Najwyższy rygor

interface_undo	Cofnij

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Nie udało się zapisać więzienia.
codex_changelog_next	Następny >
codex_changelog_prev	< Poprzedni
codex_credits	Autorzy

codex_options_screenshotmode	Tryb zrzutu ekranu
codex_tooltip_screenshotmode	W trybie zrzutu ekranu przytrzymaj [*K] i naciśnij [*E], aby wyłączyć/włączyć WSZYSTKIE ELEMENTY INTERFEJSU UŻYTKOWNIKA.
codex_sso_content_message	Utworzono konto Paradox.\n\nW ramach podziękowania nowe wieże Pawilonu strażniczego są teraz odblokowane! Znajdziesz je w menu Obiekty.
codex_options_borderless_windowed	Bez ramek
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Tryb wyświetlania
codex_options_borderless_fullscreen	Pełny ekran bez ramek
codex_options_display_monitor	Wyświetlacz
codex_options_windowed_resolution	Rozdzielczość w oknie

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Ściana (Art déco)
material_blueWall	Luksusowa ściana (niebieskie pasy)
material_burgundyWall	Luksusowa ściana (burgundowa)
material_greenWall	Luksusowa ściana (zielona)
material_orientalWall	Ściana (orientalna)
material_cushionedwall	Ściana (wyściełana)

material_sandstone	Piaskowiec
material_limestonefloor	Wapień
material_blueCarpet	Dywan (niebieski)
material_redCarpet	Dywan (czerwony)
material_brownCarpet	Dywan (brązowy)
material_paddedfloor	Wyściełana
material_grassstones	Trawa i kamienie
material_grasscornerfloor	Trawiasty narożnik
material_grasscornerfloor1	Trawiasty narożnik
material_grasscornerfloor2	Trawiasty narożnik
material_grasscornerfloor3	Trawiasty narożnik
material_lunarfloor	Księżycowa

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Drzewo (upiorne)
object_cactustree	Drzewo (kaktus)
object_sakuratree	Drzewo (wiśnia)
object_plantcactus	Roślina (kaktus)
object_tyrestack	Sterta opon
object_lamp	Światło (lampa)
object_bathroomSink	Umywalka łazienkowa
object_bathroomHandDryer	Suszarka do rąk
object_chestOfDrawers	Komoda z szufladami
object_woodenStool	Drewniany stołek
object_woodenTable	Drewniany stół
object_bucket	Wiadro
object_shortbookcase	Regał na książki (krótki)
object_outdoorTable	Stół zewnętrzny
object_mooseHead	Głowa łosia
object_toiletSign	Znak (toalety)
object_rightArrowSign	Znak (strzałka w prawo)
object_leftArrowSign	Znak (strzałka w lewo)
object_infirmarySign	Znak (ambulatorium)
object_canteenSign	Znak (stołówka)
object_showerSign	Znak (łazienka)
object_armourySign	Znak (zbrojownia)
object_jaildoorred	Drzwi więzienne (czerwone)
object_jaildoorgrey	Drzwi więzienne (szare)
object_jaildoororange	Drzwi więzienne (pomarańczowe)
object_jaildoorYellow	Drzwi więzienne (żółte)
object_jaildoorlargered	Duże drzwi więzienne (czerwone)
object_jaildoorlargegrey	Duże drzwi więzienne (szare)
object_jaildoorlargeorange	Duże drzwi więzienne (pomarańczowe)
object_jaildoorlargeyellow	Duże drzwi więzienne (żółte)
object_coatstand	Stojak na płaszcze
object_dogbowl	Psia miska
