# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
codex_legal	Jurídico
codex_privacy	Política de Privacidade
codex_terms-of-use	Termos de uso
codex_eula	Contrato de Licença de Usuário Final

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Paredes & Portas
interfacemode_flooring	Chão
tunnelsearch_underway	BUSCA POR TÚNEIS EM ANDAMENTO
tunnelsearch_found	Túneis
moveobjects_prompt	CLIQUE DUPLO: Mover objeto
moveobjects_abort	CLIQUE DIREITO: Cancelar movimento

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Tipos diferentes de paredes e portas
buildtoolbar_popup_flooring	Estilos diferentes de chão
buildtoolbar_popup_spawn	Abre o menu Início.
buildtoolbar_tunnelsearch	Procurar Túneis

buildtoolbar_tooltip_tunnelsearch	Suspeita de uma tentativa de fuga? Ordene que os guardas revistem atrás de todos os vasos sanitários.

buildtoolbar_GuardResponse	Resposta dos Guardas
buildtoolbar_tooltip_GuardResponse	Quando ativada, clique com o botão esquerdo no mapa para chamar guardas próximos até um local. Mais cliques chamam mais guardas. Clique com o botão direito para parar.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Parede ladrilhada
material_NewBarredWall	Parede barrada
material_NewBBlockWall	Parede branca
material_NewHedgeWall	Cerca viva
material_NewIronFloor	Chão de ferro
material_NewCargoFloor	Chão de carga
material_NewCheckeredFloor	Chão quadriculado
material_Snow	Neve


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Clique esquerdo duplo para seguir *E

quickbuild_intermediatecell	Cela melhorada
quickbuild_holdingcell	Cela de contenção
quickbuild_medical	Enfermaria
quickbuild_shop	Loja
quickbuild_shower	Chuveiro
quickbuild_staffroom	Sala de funcionários
quickbuild_workshop	Oficina

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 de junho de 2019
mm_updatenotes_Header	Atualização "O Tinido"
mm_updatenotes_01	Adicionamos 4 novos tipos de chão e 4 novos tipos de parede.
mm_updatenotes_02	Melhoramos o desempenho para ajudar a baixar o tempo de carregamento.
mm_updatenotes_03	Aumentamos o número de capatazes que podem ser contratados em prisões maiores, onde capatazes também ensinam programas.
mm_updatenotes_04	Agora objetos existentes possuem rotação total; adicionamos novos "sprites" para as orientações ausentes.
mm_updatenotes_05	Novo botão de "Resposta dos Guardas" que comanda guardas existentes próximos a irem até um local, em vez de o jogador ter que contratar guardas adicionais para lidar com incidentes.
mm_updatenotes_06	Novo botão, "Procurar Túneis", que comanda os guardas a revistarem todos os vasos sanitários em busca de túneis de fuga.
mm_updatenotes_07	Mais salas rápidas adicionadas ao menu de construção rápida, para que possam construir salas de forma mais rápida e fácil.
mm_updatenotes_08	Ficou muito mais fácil seguir prisioneiros e funcionários; agora é só clicar duas vezes neles.
mm_updatenotes_09	Adicionamos a habilidade de mover e realocar objetos! Selecione e clique duas vezes em um objeto.
mm_updatenotes_10	Esperamos que se divirtam jogando com essas novas melhorias!




############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Lama
material_mud	Lama
material_yutaniwall	Parede (Yutani)










material_solacofloor	Solaco
material_gratefloor	Gradeado

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Árvore (Conífera nevada)


object_palmtree	Árvore (Palmeira)
object_plant	Planta

object_bush	Arbusto

object_streetlamp	Poste

object_floodlight	Lâmpada (Holofote)








