
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Novo
dialog_load                             Carregar
dialog_save                             Guardar
dialog_saveas                           Guardar como
dialog_delete                           Excluir
dialog_width                            Largura
dialog_height                           Altura
dialog_name                             Nome
dialog_type                             Tipo
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Sair
dialog_cancel                           Cancelar
dialog_ok                               Ok
dialog_open                             Abrir
dialog_close                            Fechar
dialog_closed                           Fechado
dialog_add                              Adicionar
dialog_up                               Para cima
dialog_down                             Para baixo
dialog_yes                              Sim
dialog_no                               Não
dialog_loading                          A carregar...
dialog_low                              Baixo
dialog_medium                           Médio
dialog_high                             Alto
dialog_none                             Nenhum
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Editor de diálogo
dialogeditor_back                       Voltar
dialogeditor_front                      Frente
dialogeditor_reloadlanguage             Recarregar idioma
dialogeditor_test                       Testar
dialogeditor_window                     Janela
dialogeditor_grid                       Grelha
dialogeditor_caption                    Legenda
dialogeditor_component                  Componente
dialogeditor_select						Selecionar
dialogeditor_create						Criar
dialogeditor_background                 Img fundo
dialogeditor_panel                      Painel

dialogcomponent_custom                  Personalizado
dialogcomponent_button                  Botão
dialogcomponent_container               Galeria
dialogcomponent_caption                 Legenda
dialogcomponent_titlecaption            LegendaTítulo
dialogcomponent_checkbox                Caixa de seleção
dialogcomponent_inputfield              CampoEntrada
dialogcomponent_inputslider             BarradeEntrada
dialogcomponent_dropdownmenu            MenuSuspenso
dialogcomponent_selectionlist           ListaSeleção
dialogcomponent_selectionlistitem       ItemListaSeleção
dialogcomponent_scrollbar               BarradeDeslocamento
dialogcomponent_progressbar             BarradeProgresso
dialogcomponent_canvas                  Ecrã
dialogcomponent_iconbox					CaixaÍcone

dialogposition_absolute                 Absoluta
dialogposition_relative                 Relativa
dialogposition_scaled                   Dimensionada


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Analisador
profiler_name                           Nome
profiler_timings                        Tempos
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Redefinir


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Canais de Som
soundeditor_title                       Editor de Som
soundinstanceeditor_title				Editor de Instância de Som

soundeditor_positiontitle		        Tipo de posição
soundeditor_instancetitle		        Tipo de instância
soundeditor_looptitle			        Tipo de loop
soundeditor_sourcetypetitle		        Tipo de som
soundeditor_soundnametitle		        Nome do som

soundeditor_volumetitle			        Volume
soundeditor_frequencytitle              Frequência
soundeditor_mindistancetitle            Distância Mín.
soundeditor_attacktitle                 Ataque
