# June27th Update									
									
# =============================================================================									
# Codex									
# =============================================================================									
									
codex_viewchangelog							Registo de alterações completo		
codex_legal									Legal
codex_privacy								política de Privacidade
codex_terms-of-use							termos de uso
codex_eula									contrato de licença de usuário final						
									
# =============================================================================									
# Interface Mode									
# =============================================================================									
									
interfacemode_wallsanddoors                        			Walls & Doors						
interfacemode_flooring							Pisos		
tunnelsearch_underway							PESQUISA DE TÚNEIS EM ANDAMENTO		
tunnelsearch_found							Túneis		
moveobjects_prompt							DUPLO CLIQUE: Mover objeto		
moveobjects_abort							BOTÃO DIREITO: Cancelar movimento 		
									
# =============================================================================									
# Build Toolbar									
# =============================================================================									
									
buildtoolbar_popup_wallsanddoors					Diferentes tipos de paredes e portas				
buildtoolbar_popup_flooring						Diferentes estilos de pisos			
buildtoolbar_popup_spawn						Abre o Menu Início.			
buildtoolbar_tunnelsearch						Pesquisar túneis			
									
buildtoolbar_tooltip_tunnelsearch					Suspeitas que está em curso uma tentativa de fuga? Ordena aos guardas para procurar atrás de todas as casas de banho.				
									
buildtoolbar_GuardResponse						Resposta dos guardas			
buildtoolbar_tooltip_GuardResponse					Quando ativada, podes clicar no mapa com o botão esquerdo para chamar os guardas próximos para uma localização. Mais cliques chamam mais guardas. Clica no botão direito para parar.				
									
									
# =============================================================================									
# New Materials									
# =============================================================================									
									
									
material_NewTiledWall							Parede com azulejos		
material_NewBarredWall							Parede de alvenaria		
material_NewBBlockWall							Parede branca		
material_NewHedgeWall							Cerca		
material_NewIronFloor							Piso de ferro		
material_NewCargoFloor							Piso de carga		
material_NewCheckeredFloor						Piso de xadrez			
material_Snow								Neve	
									
									
# =============================================================================									
# Misc									
# =============================================================================									
									
double_click_select_desc							Duplo clique no botão esquerdo para seguir este *E		
									
quickbuild_intermediatecell							Cela melhorada		
quickbuild_holdingcell								Cela de detenção	
quickbuild_medical								Médico	
quickbuild_shop									Loja
quickbuild_shower								Duche	
quickbuild_staffroom								Sala dos funcionários	
quickbuild_workshop								Oficina	
									
# =============================================================================									
# Main Menu									
# =============================================================================									
									
									
mm_updatenotes_Date								27 de junho de 2019	
mm_updatenotes_Header								A Atualização Clink	
mm_updatenotes_01								Adicionados 4 mosaicos e 4 tipos de parede novos.	
mm_updatenotes_02								Melhorias no desempenho para baixar os tempos de carregamento.	
mm_updatenotes_03								Aumento no número de capatazes que podem ser contratados, para prisões maiores onde os capazes também ensinam programas.	
