# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Changelog complet
codex_legal									Legal
codex_privacy								politica de confidentialitate
codex_terms-of-use							Termeni de utilizare
codex_eula									acordul de licență pentru utilizatorul final

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Pereți și uși
interfacemode_flooring							Pardoseli
tunnelsearch_underway							CĂUTARE TUNEL ÎN DESFĂȘURARE
tunnelsearch_found							Tunele
moveobjects_prompt							CLIC DUBLU: Mutați obiectul
moveobjects_abort							CLIC DREAPTA: Anulați mutarea 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Diferite tipuri de pereți și uși
buildtoolbar_popup_flooring						Diferite stiluri de pardoseli
buildtoolbar_popup_spawn						Deschideți meniul Creare.
buildtoolbar_tunnelsearch						Căutare Tunel

buildtoolbar_tooltip_tunnelsearch					Suspectați că este o evadare în desfășurare? Ordonați tuturor gardienilor dvs. să caute în spatele tuturor toaletelor.		

buildtoolbar_GuardResponse						Răspuns cu gardieni	
buildtoolbar_tooltip_GuardResponse					Când este activat, puteți face clic stânga pe hartă pentru a chema toți gardienii din apropiere la locație. Clic dreapta pentru a opri.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Perete cu faianță
material_NewBarredWall							Perete de grilaj
material_NewBBlockWall							Perete alb
material_NewHedgeWall							Gard viu
material_NewIronFloor							Podea de fier
material_NewCargoFloor							Podea cargo
material_NewCheckeredFloor						Podea în pătrățele
material_Snow								Zăpadă


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Dublu clic stânga pentru a urma asta *E

quickbuild_intermediatecell							Celulă îmbunătățită
quickbuild_holdingcell								Celulă de arest
quickbuild_medical								Medical
quickbuild_shop									Magazin
quickbuild_shower								Duș
quickbuild_staffroom								Camera angajaților
quickbuild_workshop								Atelier

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27 iunie 2019
mm_updatenotes_Header								Actualizarea Clink
mm_updatenotes_01								x4 plăci ceramice de podea noi și x4 noi tipuri de pereți adăugate.
mm_updatenotes_02								Îmbunătățiri aduse performanței, pentru a reduce durata de încărcare.
mm_updatenotes_03								A fost crescut numărul de maiștriim ce pot fi angajați, pentru închisorile mai mari, unde maiștrii predau și cursuri în programe.
mm_updatenotes_04								Obiectele existente dispun de un set complet de rotații acum, cu noi elfi adăugați pentru orientările lipsă.
mm_updatenotes_05								Un nou buton 'Răspuns cu gardieni' care adună gardienii din apropiere la o locație, fără ca jucătorii să trebuiască să angajeze gardieni pentru a răspunde incidentelor. 
mm_updatenotes_06								Un nou buton 'Căutare Tunel' care comandă gardienilor să verifice în mod specific toaletele referitor la tunele de evadare ascunse.  
mm_updatenotes_07								Camere rapide suplimentare adăugate meniului de Construire rapidă, pentru construcții mai rapide și facile ale camerelor.
mm_updatenotes_08								Urmărirea deținuților și a angajaților este mai simplă, printr-un clic dublu pe ei.
mm_updatenotes_09								Abilitatea de a deplasa și repoziționa obiectele a sosit! Selectați și faceți dublu clic pe un obiect.
mm_updatenotes_10								Sperăm să vă facă plăcere să jucați cu aceste noi îmbunătățiri!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Noroi
