# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Все изменения
codex_legal	Адвокат
codex_privacy	политика конфиденциальности
codex_terms-of-use	Условия эксплуатации
codex_eula	Лицензионное соглашение с конечным пользователем

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Стены и двери
interfacemode_flooring	Пол
tunnelsearch_underway	ВЫПОЛНЯЕТСЯ ПОИСК ТОННЕЛЕЙ
tunnelsearch_found	Тоннели
moveobjects_prompt	ДВОЙНОЙ ЩЕЛЧОК ЛКМ: перемещение объекта
moveobjects_abort	ЩЕЛЧОК ПКМ: отменить перемещение

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Разные типы стен и дверей
buildtoolbar_popup_flooring	Разные стили напольного покрытия
buildtoolbar_popup_spawn	Открыть меню создания.
buildtoolbar_tunnelsearch	Поиск тоннелей

buildtoolbar_tooltip_tunnelsearch	Подозреваете, что кто-то пытается сбежать? Прикажите охранникам проверить все туалеты.

buildtoolbar_GuardResponse	Вызов охраны
buildtoolbar_tooltip_GuardResponse	Когда функция включена, щёлкните ЛКМ по любому месту на карте, чтобы отправить туда ближайших охранников. Чем больше раз вы щёлкните, тем больше прибудет охранников. Для отмены щёлкните ПКМ.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Стена с плиткой
material_NewBarredWall	Стена с решёткой
material_NewBBlockWall	Белая стена
material_NewHedgeWall	Изгородь
material_NewIronFloor	Железный пол
material_NewCargoFloor	Настил
material_NewCheckeredFloor	Пол в клетку
material_Snow	Снег


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Двойной щелчок ЛКМ — следовать *E

quickbuild_intermediatecell	Улучшенная камера
quickbuild_holdingcell	Временный изолятор
quickbuild_medical	Медблок
quickbuild_shop	Магазин
quickbuild_shower	Душевая
quickbuild_staffroom	Служебное помещение
quickbuild_workshop	Мастерская

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 июня 2019 г.
mm_updatenotes_Header	업데이트
mm_updatenotes_01	Добавлено 4 новых типа пола и 4 новых типа стен.
mm_updatenotes_02	Улучшена производительность. Время загрузки снижено.
mm_updatenotes_03	Увеличено количество нанимаемых надзирателей в более крупных тюрьмах, где надзиратели также участвуют в обучающих программах.
mm_updatenotes_04	Существующие объекты теперь можно вращать в любом направлении. Для всех углов обзора были добавлены соответствующие модели объектов.
mm_updatenotes_05	Добавлена функция "Вызов охраны", с помощью которой можно отправить ближайших охранников в указанное место. Теперь игрокам не придётся нанимать дополнительных охранников для предотвращения происшествий.
mm_updatenotes_06	Добавлена функция "Поиск тоннелей", с помощью которой можно приказать охранникам проверить все туалеты на наличие в них тоннелей для побега.
mm_updatenotes_07	В меню быстрого строительства появились дополнительные помещения, чтобы строить их было проще и быстрее.
mm_updatenotes_08	Добавлена функция следования за заключёнными и сотрудниками тюрьмы (включается двойным щелчком ЛКМ).
mm_updatenotes_09	Теперь можно двигать и перемещать объекты! Для этого выберите объект и дважды щёлкните по нему ЛКМ.
mm_updatenotes_10	Надеемся, эти нововведения придутся вам по вкусу!



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Грязь
material_mud	Грязь
material_yutaniwall	Стена (Ютани)










material_solacofloor	Солако
material_gratefloor	Решетка

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Дерево (хвойное, снег)


object_palmtree	Дерево (пальма)
object_plant	Растение

object_bush	Куст

object_streetlamp	Уличный фонарь

object_floodlight	Освещение (прожектор)








object_bleachers	Трибуны
object_smallbench	Лавка (маленькая)
object_smalltable	Стол (маленький)
object_showerpillar	Душевая колонна


object_doorMat	Коврик

object_GuardPavilion	Будка охраны
object_GuardPavilionCorner	Будка охраны (угловая)

object_OfficeChair	Стул (офис)




















object_visitorDoor	Дверь для посетителей
object_ironingBoardShort	Гладильная доска (маленькая)
object_fencegatestaff	Калитка (персонал)
object_fencegatestandard	Калитка (стандартная)
object_fencegatevisitor	Калитка (для посетителей)












object_walllight	Настенный светильник
object_securedoor	Дверь (безопасная)
