# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
codex_legal	Legal
codex_privacy	Política De Privacidad
codex_terms-of-use	Términos De Uso
codex_eula	Contrato De Licencia De Usuario Final

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	Paredes y puertas
interfacemode_flooring	Suelos
tunnelsearch_underway	BÚSQUEDA DE TÚNEL EN CURSO
tunnelsearch_found	Túneles
moveobjects_prompt	DOBLE CLIC: Mover objeto
moveobjects_abort	CLIC DERECHO: Cancelar movimiento

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	Diferentes tipos de paredes y puertas
buildtoolbar_popup_flooring	Diferentes tipos de suelo
buildtoolbar_popup_spawn	Abre el menú de aparición.
buildtoolbar_tunnelsearch	Búsqueda de túnel

buildtoolbar_tooltip_tunnelsearch	¿Sospechas que hay un intento de fuga? Ordena a tus guardias que busquen detrás de cada retrete.

buildtoolbar_GuardResponse	Respuesta de guardias
buildtoolbar_tooltip_GuardResponse	Si está activa, puedes hacer clic izquierdo en el mapa para llamar a los guardias cercanos a un lugar. Con más clics llamas a más guardias. Clic derecho para parar.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall	Pared de azulejos
material_NewBarredWall	Pared de barrotes
material_NewBBlockWall	Pared blanca
material_NewHedgeWall	Seto
material_NewIronFloor	Suelo de hierro
material_NewCargoFloor	Suelo de carga
material_NewCheckeredFloor	Suelo a cuadros
material_Snow	Nieve


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	Doble clic para seguir a este *E

quickbuild_intermediatecell	Celda mejorada
quickbuild_holdingcell	Celda de contención
quickbuild_medical	Médica
quickbuild_shop	Tienda
quickbuild_shower	Ducha
quickbuild_staffroom	Personal
quickbuild_workshop	Taller

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date	27 de junio de 2019
mm_updatenotes_Header	Actualización "El trullo"
mm_updatenotes_01	Hemos añadido 4 tipos de suelo y 4 de pared.
mm_updatenotes_02	Hemos mejorado el rendimiento para reducir los tiempos de carga.
mm_updatenotes_03	Hemos aumentado el número de capataces que puedes contratar para las prisiones grandes en las que los capataces también imparten programas.
mm_updatenotes_04	Los objetos existentes ahora pueden rotar en cualquier dirección, hemos añadido imágenes para las rotaciones que faltaban.
mm_updatenotes_05	Nuevo botón de "Respuesta de guardias" que ordena a los guardias cercanos que se dirijan a un lugar concreto en vez de tener que contratar guardias para cada incidente.
mm_updatenotes_06	Nuevo botón de "Búsqueda de túnel" que ordena a los guardias que registren los retretes en busca de túneles secretos.
mm_updatenotes_07	Añadidas más salas al menú de construcción rápida para facilitar el proceso de construcción.
mm_updatenotes_08	Ahora es fácil seguir a los prisioneros y al personal, solo tienes que hacer doble clic.
mm_updatenotes_09	¡Por fin es posible mover y reubicar objetos! Basta con seleccionar un objeto y hacer doble clic.
mm_updatenotes_10	¡Esperamos que disfrutéis con estas mejoras!

############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Barro
material_mud	Barro
material_yutaniwall	Pared (Yutani)










material_solacofloor	Solaco
material_gratefloor	Rejilla

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Árbol (conífera nevada)


object_palmtree	Árbol (palmera)
object_plant	Planta

object_bush	Arbusto

object_streetlamp	Farola

object_floodlight	Luz (focos)








object_bleachers	Gradas
object_smallbench	Banco (pequeño)
object_smalltable	Mesa (pequeña)
object_showerpillar	Pilar para duchas


object_doorMat	Felpudo

object_GuardPavilion	Caseta de vigilancia
object_GuardPavilionCorner	Caseta de vigilancia (esquina)

object_OfficeChair	Silla (oficina)




















