# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							รายการบันทึกการเปลี่ยนแปลงทั้งหมด
codex_legal									ถูกกฎหมาย
codex_privacy								นโยบายความเป็นส่วนตัว
codex_terms-of-use							ข้อตกลงในการใช้งาน
codex_eula									ข้อตกลงใบอนุญาตผู้ใช้ปลายทาง

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			ผนังและประตู
interfacemode_flooring							การปูพื้น
tunnelsearch_underway							อยู่ระหว่างค้นหาอุโมงค์
tunnelsearch_found							ช่อง
moveobjects_prompt							คลิกสองครั้ง: ย้ายวัตถุ
moveobjects_abort							คลิกขวา: ยกเลิกการย้าย 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					ผนังและประตูประเภทต่าง ๆ
buildtoolbar_popup_flooring						ลายพื้นต่าง ๆ
buildtoolbar_popup_spawn						เปิดเมนูสร้างวัตถุ
buildtoolbar_tunnelsearch						ค้นหาอุโมงค์

buildtoolbar_tooltip_tunnelsearch					สงสัยว่าจะมีการพยายามหลบหนีเกิดขึ้น? สั่งให้ผู้คุมค้นหาด้านหลังห้องน้ำทุกห้อง 

buildtoolbar_GuardResponse						การตอบสนองของผู้คุม 
buildtoolbar_tooltip_GuardResponse					เมื่อทำงาน คุณสามารถคลิกซ้ายที่แผนที่เพื่อสั่งให้ผู้คุมที่อยู่ใกล้เคียงเดินไปตำแหน่งที่กำหนด คลิกเพิ่มเพื่อเพิ่มจำนวนผู้คุมที่ต้องการสั่ง คลิกขวาเพื่อหยุด


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							ผนังปูกระเบื้อง
material_NewBarredWall							ผนังติดกรง
material_NewBBlockWall							ผนังสีขาว
material_NewHedgeWall							เครื่องกั้น
material_NewIronFloor							พื้นเหล็ก
material_NewCargoFloor							พื้นลำเลียง
material_NewCheckeredFloor						พื้นลายหมากรุก
material_Snow								หิมะ


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							คลิกสองครั้งเพื่อตาม *E

quickbuild_intermediatecell							 ห้องขังที่ปรับปรุงแล้ว
quickbuild_holdingcell								ห้องขังชั่วคราว
quickbuild_medical								หน่วยพยาบาล
quickbuild_shop									 ร้านค้า
quickbuild_shower							 	 ห้องอาบน้ำ
quickbuild_staffroom								 ห้องเจ้าหน้าที่
quickbuild_workshop								 สถานีงาน

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27 มิถุนายน 2019
mm_updatenotes_Header อัปเดค Clink
mm_updatenotes_01								เพิ่มกระเบื้องปูพื้นใหม่ 4 แผ่นและลายผนังใหม่ 4 ลายแล้ว
mm_updatenotes_02								ปรับปรุงระบบการทำงานของเกมเพื่อลดเวลาในการโหลด
mm_updatenotes_03								เพิ่มขีดกำจัดในการจ้างหัวหน้าคนงานสำหรับเรือนจำขนาดใหญ่ที่ให้หัวหน้าคนงานสอนหลักสูตรต่าง ๆ
mm_updatenotes_04								วัตถุที่มีอยู่สามารถหมุนได้ครบทุกทิศทางและเพิ่มสไปนต์ใหม่สำหรับทิศทางที่ขาดไป
mm_updatenotes_05								ปุ่ม 'การตอบสนองของผู้คุม' ใหม่ทำหน้าที่สั่งการผู้คุมที่อยู่ใกล้เคียงให้ไปที่ตำแหน่งที่กำหนด แทนที่จะให้ผู้เล่นจ้างผู้คุมเพิ่มเพื่อจัดการกับเหตุการณ์ 
mm_updatenotes_06								ปุ่ม 'ค้นหาอุโมงค์' ทำหน้าที่สั่งการผู้คุมให้ค้นหาห้องน้ำทุกห้องที่ซ่อนอุโมงค์หลบหนี 
mm_updatenotes_07								เพิ่ม 'ห้องด่วน' ไปที่เมนู 'สร้างด่วน' เพื่อสร้างห้องเร็วและง่ายขึ้น
mm_updatenotes_08								ติดตามนักโทษและเจ้าหน้าที่ง่ายขึ้นด้วยการคลิกไปที่พวกเขาสองครั้ง
mm_updatenotes_09								สามารถย้ายและเปลี่ยนตำแหน่งวัตถุได้แล้ว! เลือกและคลิกที่วัตถุสองครั้ง
mm_updatenotes_10								เราหวังว่าคุณจะเพลิดเพลินกับข้อปรับปรุงใหม่เหล่านี้!

﻿

############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									โคลน
material_yutaniwall								กำแพงยูทานิ










material_solacofloor							โซลาโค
material_gratefloor								ชั้นตะแกรง

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							ต้นไม้ (ต้นสนหิมะ)


