
campaigncutscene_tooltip 				(คลิกเพื่อดำเนินเนื้อเรื่องในบทถัดไป)
campaignchapter_locked                  (ล็อคอยู่)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    ปาแลร์โม

campaignchapter_food_description        เพลิงไหม้ครั้งใหญ่ได้ทำลายโรงครัวและโรงอาหารของเรือนจำแห่งนี้  ถ้าเราไม่หารีบหาข้าวให้พวกนักโทษโดยเร็วล่ะก็ รับรองว่าจะต้องมีเหตุจลาจลครั้งใหญ่แน่นอน\nแก้ไขวิกฤตเรื่องอาหารให้เรียบร้อย จากนั้นสร้างโรงครัวและโรงอาหารขึ้นมาใหม่

adviser_food_fire_1                     มีปัญหาร้ายแรงกำลังก่อตัวขึ้นในส่วนงานอื่นของเรา
adviser_food_fire_2                     มีคนวางเพลิงโรงครัวของเรือนจำ อันดับแรกเราต้องดับไฟ ช่วยชีวิตคนที่ยังติดอยู่ในนั้น และยับยั้งไม่ให้เกิดความเสียหายมากไปกว่านี้
adviser_food_fire_3                     ใช้ปุ่ม "บริการฉุกเฉิน" ในแถบเครื่องมือ เพื่อเรียกตำรวจดับเพลิง
adviser_food_fire_4                     ควบคุมไฟให้ได้ ก่อนที่เรือนจำแห่งนี้จะโดนเผาจนวอด!

objective_food_callfirebrigade          โทรหาตำรวจดับเพลิง
objective_food_extinguishflames         ดับไฟที่ไหม้อยู่

objective_food_callfirebrigade_description 	หากต้องการเรียกตำรวจดับเพลิง ให้คลิกที่ปุ่ม "ฉุกเฉิน" ในแถบเครื่องมือ แล้วคลิกที่ "ตำรวจดับเพลิง"
objective_food_extinguishflames_description  เมื่อคุณเลือกตำรวจดับเพลิง คุณสามารถเล็งสายยางด้วยตนเองได้โดยกดปุ่ม H ใช้ปุ่มนี้เพื่อฉีดน้ำไปยังจุดกึ่งกลางของไฟ\n\nพยายามให้ตำรวจอยู่ใกล้ไฟที่สุดเท่าที่จะทำได้ เพื่อเพิ่มประสิทธิภาพในการดับไฟ

adviser_food_savedon1                   พระเจ้าช่วย มีคนรอดชีวิตติดอยู่ในซากตึกด้วย
adviser_food_savedon2					เป็นเรื่องแล้ว นี่มันดอน ปาแลร์โม จากนักโทษทั้งหมด... มีเจ้าพ่อใหญ่ของเรารอดชีวิตอยู่คนเดียว
adviser_food_donintro2					ข่าวร้ายสำหรับเขาก็คือ เราถูกจำกัดงบประมาณ ก็เลยไล่หมอที่ทำงานประจำอยู่ในนี้ออกไปหมดแล้ว
adviser_food_donintro3				 	ข่าวดีก็คือ ศูนย์พยาบาลของเรายังคงใช้งานได้ จ้างหมอซักสองสามคนมาดูแลดอน ปาแลร์โม ระหว่างที่เราจัดการเรื่องวุ่นวายนี้ให้เรียบร้อย

adviser_food_afterfire3                 เราจะต้องเคลียร์สิ่งสกปรกพวกนี้ออกไปก่อน
adviser_food_afterfire4                 ใช้เครื่องมือบูลโดเซอร์เพื่อเก็บกวาดซากโรงอาหารและโรงครัว คุณจะต้องกำจัดซากอาคารทั้งหมดให้เรียบร้อย
adviser_food_afterfire6                 กำหนดที่ทิ้งขยะให้อยู่ใกล้กับถนน คนงานของเราจะทิ้งซากอาคารไว้ที่นั่น เพื่อให้รถบรรทุกขนขยะมารับออกไป
adviser_food_dismissfiremen1			ขั้นตอนสุดท้าย คุณสามารถส่งตำรวจดับเพลิงกลับบ้านได้ หลังจากที่เขาทำงานเสร็จแล้ว
adviser_food_gamespeed                  การรื้อถอนอาคารพวกนี้คงต้องใช้เวลาซักพัก คุณสามารถควบคุมให้เวลาผ่านไปเร็วขึ้นได้โดยใช้ปุ่มด้านล่างนาฬิกา

adviser_food_todolist1					ผมได้เพิ่มเติมรายละเอียดของเป้าหมายแต่ละข้อลงในรายการงานที่ต้องทำเรียบร้อยแล้ว
adviser_food_todolist2					หากคุณไม่แน่ใจว่าจะต้องทำอะไร ให้เน้นที่เป้าหมายเพื่ออ่านคำแนะนำเพิ่มเติม

objective_food_buildmedicalward_doctors จ้างแพทย์สองสามคนมาประจำศูนย์พยาบาล

objective_food_DismissAllFiremen		ส่งตำรวจดับเพลิงกลับ
objective_food_cleararea                เก็บกวาดซากอาคารที่ถูกไฟไหม้
objective_food_buildgarbagearea         กำหนดบริเวณที่ทิ้งขยะ
objective_food_clearcanteen             เก็บกวาดซากโรงอาหาร
objective_food_clearkitchen             เก็บกวาดซากโรงครัว
objective_food_hiremoreworkmen			(เพิ่มเติม) จ้างคนงานเพิ่มเพื่อเร่งความเร็วในการรื้อถอน

objective_food_dismissallfiremen_description 	หากต้องการยกเลิกบริการฉุกเฉิน ให้ค้นหาไอคอนของบริการที่กำลังใช้ทางด้านขวาของหน้าจอ จากนั้นคลิกที่ปุ่มวงกลมสีแดงที่มีเครื่องหมาย X เพื่อส่งพวกเขากลับบ้าน
objective_food_cleararea_description 	ใช้เครื่องมือบูลโดเซอร์เพื่อรื้อถอนอาคาร เครื่องมือบูลโดเซอร์จะอยู่ในหัวข้อ "รากฐาน" ในแถบเครื่องมือหลัก

adviser_food_familyvisit1				เยี่ยมมาก
adviser_food_familyvisit2 				เรามาเช็คจำนวนผู้เสียชีวิตกันดีกว่า

adviser_food_troublesoon1				ถ้าไม่มีอาหาร นักโทษพวกนี้จะพังกำแพงของเราภายในสองสามวันแน่นอน
adviser_food_troublesoon2 				เราจะต้องคุ้มกันเรือนจำของเราให้พร้อม ไม่งั้นเราจะต้องวุ่นวายกับการจลาจลแน่นอน
adviser_food_troublesoon3 				นี่คือหน้าจอการกระจายกำลัง จากส่วนนี้ คุณสามารถควบคุมกลยุทธ์การดำเนินงานของผู้คุมทุกคนได้
adviser_food_troublesoon4 				กำหนดตำแหน่งประจำการของผู้คุมให้ครอบคลุมห้องขังและห้องปฏิบัติงานต่างๆ ให้ครบ กำหนดตำแหน่งผู้คุม 10 คนประจำการรอบเรือนจำ กำลังคนเท่านี้น่าจะมีอำนาจควบคุมเพียงพอสำหรับตอนนี้
adviser_food_troublesoon5				ผมต้องการให้มีคนลาดตระเวนรอบลานด้านในอาคาร ระหว่างที่เราสร้างอาคารใหม่
