
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова
dialog_load                             Завантажити
dialog_save                             Зберегти
dialog_saveas                           Зберегти як
dialog_delete                           Видалити
dialog_width                            Ширина
dialog_height                           Висота
dialog_name                             Ім'я
dialog_type                             Тип
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                Ш
dialog_h                                В
dialog_exit                             Вихід
dialog_cancel                           Відміна
dialog_ok                               ОК
dialog_open                             Відкрити
dialog_close                            Закрити
dialog_closed                           Закрито
dialog_add                              Додати
dialog_up                               Вгору
dialog_down                             Вниз
dialog_yes                              Так
dialog_no                               Ні
dialog_loading                          Завантаження...
dialog_low                              Низька
dialog_medium                           Середня
dialog_high                             Висока
dialog_none                             Немає
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Редактор діалогів
dialogeditor_back                       Назад
dialogeditor_front                      Вперед
dialogeditor_reloadlanguage             Оновити мову
dialogeditor_test                       Перевірити
dialogeditor_window                     Вікно
dialogeditor_grid                       Сітка
dialogeditor_caption                    Надпис
dialogeditor_component                  Компонент
dialogeditor_select						Обрати
dialogeditor_create						Створити
dialogeditor_background                 Фон
dialogeditor_panel                      Панель

dialogcomponent_custom                  Користувацький
dialogcomponent_button                  Кнопка
dialogcomponent_container               Контейнер
dialogcomponent_caption                 Надпис
dialogcomponent_titlecaption            Текст заголовку
dialogcomponent_checkbox                ﻿Прапорець
dialogcomponent_inputfield              Поле
dialogcomponent_inputslider             Повзунок
dialogcomponent_dropdownmenu            Розкривне меню
dialogcomponent_selectionlist           Список вибору
dialogcomponent_selectionlistitem       Список вибору пунктів
dialogcomponent_scrollbar               Смуга прокручування
dialogcomponent_progressbar             Індикатор перебігу
dialogcomponent_canvas                  Полотно
dialogcomponent_iconbox					Місце для значків

dialogposition_absolute                 Абсолютне
dialogposition_relative                 Відносне
dialogposition_scaled                   Прив'язане


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Профілювальник
profiler_name                           Ім'я
profiler_timings                        Час
profiler_totaltime                      Загалом
profiler_glfinishcaption                glFinish
profiler_reset                          Скинути


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Аудіоканали
soundeditor_title                       Аудіоредактор
soundinstanceeditor_title				Аудіоредактор зразків

soundeditor_positiontitle		        Тип позиції
soundeditor_instancetitle		        Тип зразка
soundeditor_looptitle			        Тип петлі
soundeditor_sourcetypetitle		        Тип звуку
soundeditor_soundnametitle		        Назва звуку

soundeditor_volumetitle			        Гучність
soundeditor_frequencytitle              Частота
soundeditor_mindistancetitle            Мін. відстань
soundeditor_attacktitle                 Атака
soundeditor_sustaintitle                Затримання
soundeditor_releasetitle                Затихання
soundeditor_loopdelaytitle              Затримка петлі
soundeditor_dsptitle                    Цифрова обробка сигналу
soundeditor_nexteventtitle              Наступна подія

soundeditor_play                        Відтворити
soundeditor_stop                        Стоп

soundparametereditor_title              Параметр звуку
soundparametereditor_typetitle          Тип
soundparametereditor_linktitle          Прив'язано до
soundparametereditor_updatetitle        Тип оновлення
soundparametereditor_smoothing          Згладжування
soundparametereditor_chaintitle         Ланцюг

soundeditor_newdsp                      Додати цифрову обробку сигналу
sounddspeditor_title                    Редактор цифрової обробки сигналу
samplebankeditor_title                  Редактор семплів
samplebankeditor_addsample              Додати звук
samplebank                              (Банк семплів)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Готово
interfacemode_destroy                         Знищити
interfacemode_foundations				      Фундаменти
interfacemode_construction                    Матеріали
interfacemode_planning                        Планування
interfacemode_objects                         Об'єкти
interfacemode_designation                     Кімнати
interfacemode_utilities                       Інженерні мережі
interfacemode_staff                           Персонал
interfacemode_deployment                      Розташування
interfacemode_logistics                       Логістика
interfacemode_prisoners                       В'язні
interfacemode_needs                           Потреби
interfacemode_threats                         Загрози
interfacemode_overlays                        Накладання
interfacemode_research                        Бюрократія
interfacemode_emergencies                     Аварійні служби
interfacemode_clone                           Клонування
interfacemode_contraband                      Розвідка
interfacemode_grading                         Показники
interfacemode_spawn                           (Місце появи)
interfacemode_properties                      (Властивості)
interfacemode_cutscenes                       (Внутрішньоігрове відео)
interfacemode_selection                       Обрати
interfacemode_prefabs                         Швидке будівництво

interfaceoverlay_security                       Безпека
interfaceoverlay_patrols                        Патрулі
interfaceoverlay_decay                          Бруд
interfaceoverlay_territory                      Територія
interfaceoverlay_contraband                     Контрабанда

interfaceproperty_indoor                        У приміщенні
interfaceproperty_visible                       Видимість
interfaceproperty_territoryprisoner             Банди
interfaceproperty_territoryguard                Охоронці
interfaceproperty_sectorprisoner                Бунт
interfaceproperty_tunnel                        Тунель

interfacedeployment_guards                      Охоронці
interfacedeployment_patrols                     Патрулі охорони
interfacedeployment_dogpatrols                  Патрулі з собаками
interfacedeployment_armedpatrols                Озброєні патрулі
interfacedeployment_removeguards                Прибрати охоронців
interfacedeployment_clearpatrols                Позбутися патрулів
interfacedeployment_targetting                  Логістика
interfacedeployment_targettingfood              Логістика – харчування
interfacedeployment_targettinglaundry           Логістика – пральня
interfacedeployment_securearea                  Безпечна зона
interfacedeployment_sharedzone                  Загальне місце
interfacedeployment_staffonlyzone               Лише для персоналу
interfacedeployment_maxseczone                  Лише суворий режим
interfacedeployment_medseczone                  Лише середній режим
interfacedeployment_minseczone                  Лише загальний режим
interfacedeployment_protectedzone               Лише захищена зона
interfacedeployment_supermaxzone                Лише надсуворий режим
