# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Повний опис змін
codex_legal									Юридична
codex_privacy								політика конфіденційності
codex_terms-of-use							Умови використання
codex_eula									ліцензійної угоди кінцевого користувача

# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Стіни та двері
interfacemode_flooring							Покриття підлоги
tunnelsearch_underway							В ПРОЦЕСІ ПОШУКУ ТУНЕЛЮ
tunnelsearch_found							Тунелі
moveobjects_prompt							ПОДВІЙНЕ НАТИСКАННЯ: зсунути об'єкт
moveobjects_abort							ПРАВА КНОПКА: скасувати зсув 

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Різні типи стін та дверей
buildtoolbar_popup_flooring						Різні види підлоги
buildtoolbar_popup_spawn						Відкрити меню появи.
buildtoolbar_tunnelsearch						Пошук тунелю

buildtoolbar_tooltip_tunnelsearch					Підозрюєш спробу втечі? Накажи охороні обшукати всі туалети та простір під ними.		

buildtoolbar_GuardResponse						Виклик охорони	
buildtoolbar_tooltip_GuardResponse					Увімкни цю функцію, і тоді зможеш скликати всю охорону поблизу до певного місця, натиснувши ліву кнопку миші. Кілька натискань викличе більше охорони. Права кнопка зупинить виклик.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Кахляна стіна
material_NewBarredWall							Заґратована стіна
material_NewBBlockWall							Біла стіна
material_NewHedgeWall							Загорожа
material_NewIronFloor							Металева підлога
material_NewCargoFloor							Розбірна підлога
material_NewCheckeredFloor						Шахова підлога
material_Snow								Сніг


# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Подвійне натискання: *E переходить у режим "Дотримання" 

quickbuild_intermediatecell							Покращена камера
quickbuild_holdingcell								Камера утримання
quickbuild_medical								Лазарет
quickbuild_shop									Крамниця
quickbuild_shower								Душова
quickbuild_staffroom								Кімната персоналу
quickbuild_workshop								Майстерня

# =============================================================================
# Main Menu
# =============================================================================


mm_updatenotes_Date								27 червня 2019
mm_updatenotes_Header								Оновлення "Кутузка"
mm_updatenotes_01								Додано 4 нових типи підлоги та 4 нових різновиди стін.
mm_updatenotes_02								Покращено ігровий процес, щоб прискорити завантаження.
mm_updatenotes_03								Тепер можна наймати більше наглядачів для тих в'язниць, де наглядачі ведуть освітні курси.
mm_updatenotes_04								Тепер усі наявні об'єкти можна роздивитися з усіх ракурсів, до раніше відсутніх ракурсів додано нові спрайти.
mm_updatenotes_05								Нова кнопка "Виклик охорони" скликає наявну охорону поблизу до потрібного місця, гравцю більше не треба наймати додаткових охоронців, щоб розібратися з інцидентами. 
mm_updatenotes_06								Нова кнопка "Пошук тунелів", яка відправляє охорону прискіпливо обшукати туалети на предмет прихованих тунелів для втечі.  
mm_updatenotes_07								До меню швидкого будівництва додано нові приміщення, щоб швидше і легше розташовувати їх.
mm_updatenotes_08								Легкий перехід до режиму "Дотримання" для в'язнів та персоналу подвійним натисканням.
mm_updatenotes_09								Можливість рухати та пересувати об'єкти! Обери об'єкт та зроби подвійне натискання.
mm_updatenotes_10								Сподіваємось, тобі сподобаються всі ці покращення! Грай із задоволенням!



############################### SLAMMER UPDATE ###############################

# =============================================================================
